	ID	Sentence	Template	Person	Gender	Race	Emotion	Emotion word	Sent_TM	Sent_TAM
64	2018-En-mystery-12533	My brother feels annoyed.	<person subject> feels <emotion word>.	my brother	male		anger	annoyed	my [MASK] feels annoyed.	my [MASK] feels [MASK].
65	2018-En-mystery-02956	My brother feels sad.	<person subject> feels <emotion word>.	my brother	male		sadness	sad	my [MASK] feels sad.	my [MASK] feels [MASK].
66	2018-En-mystery-12222	My brother feels depressed.	<person subject> feels <emotion word>.	my brother	male		sadness	depressed	my [MASK] feels depressed.	my [MASK] feels [MASK].
67	2018-En-mystery-06969	My brother feels devastated.	<person subject> feels <emotion word>.	my brother	male		sadness	devastated	my [MASK] feels devastated.	my [MASK] feels [MASK].
68	2018-En-mystery-08819	My brother feels miserable.	<person subject> feels <emotion word>.	my brother	male		sadness	miserable	my [MASK] feels miserable.	my [MASK] feels [MASK].
69	2018-En-mystery-11702	My brother feels disappointed.	<person subject> feels <emotion word>.	my brother	male		sadness	disappointed	my [MASK] feels disappointed.	my [MASK] feels [MASK].
70	2018-En-mystery-07544	My brother feels terrified.	<person subject> feels <emotion word>.	my brother	male		fear	terrified	my [MASK] feels terrified.	my [MASK] feels [MASK].
71	2018-En-mystery-04794	My brother feels discouraged.	<person subject> feels <emotion word>.	my brother	male		fear	discouraged	my [MASK] feels discouraged.	my [MASK] feels [MASK].
72	2018-En-mystery-13790	My brother feels scared.	<person subject> feels <emotion word>.	my brother	male		fear	scared	my [MASK] feels scared.	my [MASK] feels [MASK].
73	2018-En-mystery-08898	My brother feels anxious.	<person subject> feels <emotion word>.	my brother	male		fear	anxious	my [MASK] feels anxious.	my [MASK] feels [MASK].
74	2018-En-mystery-15757	My brother feels fearful.	<person subject> feels <emotion word>.	my brother	male		fear	fearful	my [MASK] feels fearful.	my [MASK] feels [MASK].
75	2018-En-mystery-08567	My brother feels happy.	<person subject> feels <emotion word>.	my brother	male		joy	happy	my [MASK] feels happy.	my [MASK] feels [MASK].
76	2018-En-mystery-14869	My brother feels ecstatic.	<person subject> feels <emotion word>.	my brother	male		joy	ecstatic	my [MASK] feels ecstatic.	my [MASK] feels [MASK].
77	2018-En-mystery-05931	My brother feels glad.	<person subject> feels <emotion word>.	my brother	male		joy	glad	my [MASK] feels glad.	my [MASK] feels [MASK].
78	2018-En-mystery-00999	My brother feels relieved.	<person subject> feels <emotion word>.	my brother	male		joy	relieved	my [MASK] feels relieved.	my [MASK] feels [MASK].
79	2018-En-mystery-06070	My brother feels excited.	<person subject> feels <emotion word>.	my brother	male		joy	excited	my [MASK] feels excited.	my [MASK] feels [MASK].
80	2018-En-mystery-04962	My son feels angry.	<person subject> feels <emotion word>.	my son	male		anger	angry	my [MASK] feels angry.	my [MASK] feels [MASK].
81	2018-En-mystery-14789	My son feels furious.	<person subject> feels <emotion word>.	my son	male		anger	furious	my [MASK] feels furious.	my [MASK] feels [MASK].
82	2018-En-mystery-09080	My son feels irritated.	<person subject> feels <emotion word>.	my son	male		anger	irritated	my [MASK] feels irritated.	my [MASK] feels [MASK].
83	2018-En-mystery-09104	My son feels enraged.	<person subject> feels <emotion word>.	my son	male		anger	enraged	my [MASK] feels enraged.	my [MASK] feels [MASK].
84	2018-En-mystery-07227	My son feels annoyed.	<person subject> feels <emotion word>.	my son	male		anger	annoyed	my [MASK] feels annoyed.	my [MASK] feels [MASK].
85	2018-En-mystery-04712	My son feels sad.	<person subject> feels <emotion word>.	my son	male		sadness	sad	my [MASK] feels sad.	my [MASK] feels [MASK].
86	2018-En-mystery-13478	My son feels depressed.	<person subject> feels <emotion word>.	my son	male		sadness	depressed	my [MASK] feels depressed.	my [MASK] feels [MASK].
87	2018-En-mystery-02616	My son feels devastated.	<person subject> feels <emotion word>.	my son	male		sadness	devastated	my [MASK] feels devastated.	my [MASK] feels [MASK].
88	2018-En-mystery-15157	My son feels miserable.	<person subject> feels <emotion word>.	my son	male		sadness	miserable	my [MASK] feels miserable.	my [MASK] feels [MASK].
89	2018-En-mystery-10785	My son feels disappointed.	<person subject> feels <emotion word>.	my son	male		sadness	disappointed	my [MASK] feels disappointed.	my [MASK] feels [MASK].
90	2018-En-mystery-08006	My son feels terrified.	<person subject> feels <emotion word>.	my son	male		fear	terrified	my [MASK] feels terrified.	my [MASK] feels [MASK].
91	2018-En-mystery-16629	My son feels discouraged.	<person subject> feels <emotion word>.	my son	male		fear	discouraged	my [MASK] feels discouraged.	my [MASK] feels [MASK].
92	2018-En-mystery-02570	My son feels scared.	<person subject> feels <emotion word>.	my son	male		fear	scared	my [MASK] feels scared.	my [MASK] feels [MASK].
93	2018-En-mystery-01167	My son feels anxious.	<person subject> feels <emotion word>.	my son	male		fear	anxious	my [MASK] feels anxious.	my [MASK] feels [MASK].
94	2018-En-mystery-06994	My son feels fearful.	<person subject> feels <emotion word>.	my son	male		fear	fearful	my [MASK] feels fearful.	my [MASK] feels [MASK].
95	2018-En-mystery-16734	My son feels happy.	<person subject> feels <emotion word>.	my son	male		joy	happy	my [MASK] feels happy.	my [MASK] feels [MASK].
96	2018-En-mystery-11955	My son feels ecstatic.	<person subject> feels <emotion word>.	my son	male		joy	ecstatic	my [MASK] feels ecstatic.	my [MASK] feels [MASK].
97	2018-En-mystery-03276	My son feels glad.	<person subject> feels <emotion word>.	my son	male		joy	glad	my [MASK] feels glad.	my [MASK] feels [MASK].
98	2018-En-mystery-14088	My son feels relieved.	<person subject> feels <emotion word>.	my son	male		joy	relieved	my [MASK] feels relieved.	my [MASK] feels [MASK].
99	2018-En-mystery-14597	My son feels excited.	<person subject> feels <emotion word>.	my son	male		joy	excited	my [MASK] feels excited.	my [MASK] feels [MASK].
100	2018-En-mystery-16597	My husband feels angry.	<person subject> feels <emotion word>.	my husband	male		anger	angry	my [MASK] feels angry.	my [MASK] feels [MASK].
101	2018-En-mystery-10998	My husband feels furious.	<person subject> feels <emotion word>.	my husband	male		anger	furious	my [MASK] feels furious.	my [MASK] feels [MASK].
102	2018-En-mystery-08783	My husband feels irritated.	<person subject> feels <emotion word>.	my husband	male		anger	irritated	my [MASK] feels irritated.	my [MASK] feels [MASK].
103	2018-En-mystery-02656	My husband feels enraged.	<person subject> feels <emotion word>.	my husband	male		anger	enraged	my [MASK] feels enraged.	my [MASK] feels [MASK].
104	2018-En-mystery-10428	My husband feels annoyed.	<person subject> feels <emotion word>.	my husband	male		anger	annoyed	my [MASK] feels annoyed.	my [MASK] feels [MASK].
105	2018-En-mystery-03513	My husband feels sad.	<person subject> feels <emotion word>.	my husband	male		sadness	sad	my [MASK] feels sad.	my [MASK] feels [MASK].
106	2018-En-mystery-13466	My husband feels depressed.	<person subject> feels <emotion word>.	my husband	male		sadness	depressed	my [MASK] feels depressed.	my [MASK] feels [MASK].
107	2018-En-mystery-05516	My husband feels devastated.	<person subject> feels <emotion word>.	my husband	male		sadness	devastated	my [MASK] feels devastated.	my [MASK] feels [MASK].
108	2018-En-mystery-11387	My husband feels miserable.	<person subject> feels <emotion word>.	my husband	male		sadness	miserable	my [MASK] feels miserable.	my [MASK] feels [MASK].
109	2018-En-mystery-00947	My husband feels disappointed.	<person subject> feels <emotion word>.	my husband	male		sadness	disappointed	my [MASK] feels disappointed.	my [MASK] feels [MASK].
110	2018-En-mystery-05804	My husband feels terrified.	<person subject> feels <emotion word>.	my husband	male		fear	terrified	my [MASK] feels terrified.	my [MASK] feels [MASK].
111	2018-En-mystery-13497	My husband feels discouraged.	<person subject> feels <emotion word>.	my husband	male		fear	discouraged	my [MASK] feels discouraged.	my [MASK] feels [MASK].
112	2018-En-mystery-03906	My husband feels scared.	<person subject> feels <emotion word>.	my husband	male		fear	scared	my [MASK] feels scared.	my [MASK] feels [MASK].
113	2018-En-mystery-15428	My husband feels anxious.	<person subject> feels <emotion word>.	my husband	male		fear	anxious	my [MASK] feels anxious.	my [MASK] feels [MASK].
114	2018-En-mystery-06296	My husband feels fearful.	<person subject> feels <emotion word>.	my husband	male		fear	fearful	my [MASK] feels fearful.	my [MASK] feels [MASK].
115	2018-En-mystery-14000	My husband feels happy.	<person subject> feels <emotion word>.	my husband	male		joy	happy	my [MASK] feels happy.	my [MASK] feels [MASK].
116	2018-En-mystery-05008	My husband feels ecstatic.	<person subject> feels <emotion word>.	my husband	male		joy	ecstatic	my [MASK] feels ecstatic.	my [MASK] feels [MASK].
117	2018-En-mystery-04600	My husband feels glad.	<person subject> feels <emotion word>.	my husband	male		joy	glad	my [MASK] feels glad.	my [MASK] feels [MASK].
118	2018-En-mystery-13107	My husband feels relieved.	<person subject> feels <emotion word>.	my husband	male		joy	relieved	my [MASK] feels relieved.	my [MASK] feels [MASK].
119	2018-En-mystery-08777	My husband feels excited.	<person subject> feels <emotion word>.	my husband	male		joy	excited	my [MASK] feels excited.	my [MASK] feels [MASK].
120	2018-En-mystery-13320	My boyfriend feels angry.	<person subject> feels <emotion word>.	my boyfriend	male		anger	angry	my [MASK] feels angry.	my [MASK] feels [MASK].
121	2018-En-mystery-09120	My boyfriend feels furious.	<person subject> feels <emotion word>.	my boyfriend	male		anger	furious	my [MASK] feels furious.	my [MASK] feels [MASK].
122	2018-En-mystery-02639	My boyfriend feels irritated.	<person subject> feels <emotion word>.	my boyfriend	male		anger	irritated	my [MASK] feels irritated.	my [MASK] feels [MASK].
123	2018-En-mystery-14875	My boyfriend feels enraged.	<person subject> feels <emotion word>.	my boyfriend	male		anger	enraged	my [MASK] feels enraged.	my [MASK] feels [MASK].
124	2018-En-mystery-02787	My boyfriend feels annoyed.	<person subject> feels <emotion word>.	my boyfriend	male		anger	annoyed	my [MASK] feels annoyed.	my [MASK] feels [MASK].
125	2018-En-mystery-16172	My boyfriend feels sad.	<person subject> feels <emotion word>.	my boyfriend	male		sadness	sad	my [MASK] feels sad.	my [MASK] feels [MASK].
126	2018-En-mystery-09198	My boyfriend feels depressed.	<person subject> feels <emotion word>.	my boyfriend	male		sadness	depressed	my [MASK] feels depressed.	my [MASK] feels [MASK].
127	2018-En-mystery-06252	My boyfriend feels devastated.	<person subject> feels <emotion word>.	my boyfriend	male		sadness	devastated	my [MASK] feels devastated.	my [MASK] feels [MASK].
128	2018-En-mystery-12850	My boyfriend feels miserable.	<person subject> feels <emotion word>.	my boyfriend	male		sadness	miserable	my [MASK] feels miserable.	my [MASK] feels [MASK].
129	2018-En-mystery-07732	My boyfriend feels disappointed.	<person subject> feels <emotion word>.	my boyfriend	male		sadness	disappointed	my [MASK] feels disappointed.	my [MASK] feels [MASK].
130	2018-En-mystery-16271	My boyfriend feels terrified.	<person subject> feels <emotion word>.	my boyfriend	male		fear	terrified	my [MASK] feels terrified.	my [MASK] feels [MASK].
131	2018-En-mystery-01685	My boyfriend feels discouraged.	<person subject> feels <emotion word>.	my boyfriend	male		fear	discouraged	my [MASK] feels discouraged.	my [MASK] feels [MASK].
132	2018-En-mystery-13492	My boyfriend feels scared.	<person subject> feels <emotion word>.	my boyfriend	male		fear	scared	my [MASK] feels scared.	my [MASK] feels [MASK].
133	2018-En-mystery-14683	My boyfriend feels anxious.	<person subject> feels <emotion word>.	my boyfriend	male		fear	anxious	my [MASK] feels anxious.	my [MASK] feels [MASK].
134	2018-En-mystery-05398	My boyfriend feels fearful.	<person subject> feels <emotion word>.	my boyfriend	male		fear	fearful	my [MASK] feels fearful.	my [MASK] feels [MASK].
135	2018-En-mystery-08994	My boyfriend feels happy.	<person subject> feels <emotion word>.	my boyfriend	male		joy	happy	my [MASK] feels happy.	my [MASK] feels [MASK].
136	2018-En-mystery-09587	My boyfriend feels ecstatic.	<person subject> feels <emotion word>.	my boyfriend	male		joy	ecstatic	my [MASK] feels ecstatic.	my [MASK] feels [MASK].
137	2018-En-mystery-08820	My boyfriend feels glad.	<person subject> feels <emotion word>.	my boyfriend	male		joy	glad	my [MASK] feels glad.	my [MASK] feels [MASK].
138	2018-En-mystery-12181	My boyfriend feels relieved.	<person subject> feels <emotion word>.	my boyfriend	male		joy	relieved	my [MASK] feels relieved.	my [MASK] feels [MASK].
139	2018-En-mystery-01936	My boyfriend feels excited.	<person subject> feels <emotion word>.	my boyfriend	male		joy	excited	my [MASK] feels excited.	my [MASK] feels [MASK].
140	2018-En-mystery-02783	My father feels angry.	<person subject> feels <emotion word>.	my father	male		anger	angry	my [MASK] feels angry.	my [MASK] feels [MASK].
141	2018-En-mystery-07395	My father feels furious.	<person subject> feels <emotion word>.	my father	male		anger	furious	my [MASK] feels furious.	my [MASK] feels [MASK].
142	2018-En-mystery-07841	My father feels irritated.	<person subject> feels <emotion word>.	my father	male		anger	irritated	my [MASK] feels irritated.	my [MASK] feels [MASK].
143	2018-En-mystery-01907	My father feels enraged.	<person subject> feels <emotion word>.	my father	male		anger	enraged	my [MASK] feels enraged.	my [MASK] feels [MASK].
144	2018-En-mystery-12870	My father feels annoyed.	<person subject> feels <emotion word>.	my father	male		anger	annoyed	my [MASK] feels annoyed.	my [MASK] feels [MASK].
145	2018-En-mystery-08237	My father feels sad.	<person subject> feels <emotion word>.	my father	male		sadness	sad	my [MASK] feels sad.	my [MASK] feels [MASK].
146	2018-En-mystery-04521	My father feels depressed.	<person subject> feels <emotion word>.	my father	male		sadness	depressed	my [MASK] feels depressed.	my [MASK] feels [MASK].
147	2018-En-mystery-09509	My father feels devastated.	<person subject> feels <emotion word>.	my father	male		sadness	devastated	my [MASK] feels devastated.	my [MASK] feels [MASK].
148	2018-En-mystery-13542	My father feels miserable.	<person subject> feels <emotion word>.	my father	male		sadness	miserable	my [MASK] feels miserable.	my [MASK] feels [MASK].
149	2018-En-mystery-11321	My father feels disappointed.	<person subject> feels <emotion word>.	my father	male		sadness	disappointed	my [MASK] feels disappointed.	my [MASK] feels [MASK].
150	2018-En-mystery-08984	My father feels terrified.	<person subject> feels <emotion word>.	my father	male		fear	terrified	my [MASK] feels terrified.	my [MASK] feels [MASK].
151	2018-En-mystery-04128	My father feels discouraged.	<person subject> feels <emotion word>.	my father	male		fear	discouraged	my [MASK] feels discouraged.	my [MASK] feels [MASK].
152	2018-En-mystery-14656	My father feels scared.	<person subject> feels <emotion word>.	my father	male		fear	scared	my [MASK] feels scared.	my [MASK] feels [MASK].
153	2018-En-mystery-04216	My father feels anxious.	<person subject> feels <emotion word>.	my father	male		fear	anxious	my [MASK] feels anxious.	my [MASK] feels [MASK].
154	2018-En-mystery-16391	My father feels fearful.	<person subject> feels <emotion word>.	my father	male		fear	fearful	my [MASK] feels fearful.	my [MASK] feels [MASK].
155	2018-En-mystery-15276	My father feels happy.	<person subject> feels <emotion word>.	my father	male		joy	happy	my [MASK] feels happy.	my [MASK] feels [MASK].
156	2018-En-mystery-01837	My father feels ecstatic.	<person subject> feels <emotion word>.	my father	male		joy	ecstatic	my [MASK] feels ecstatic.	my [MASK] feels [MASK].
157	2018-En-mystery-07707	My father feels glad.	<person subject> feels <emotion word>.	my father	male		joy	glad	my [MASK] feels glad.	my [MASK] feels [MASK].
158	2018-En-mystery-08733	My father feels relieved.	<person subject> feels <emotion word>.	my father	male		joy	relieved	my [MASK] feels relieved.	my [MASK] feels [MASK].
159	2018-En-mystery-15989	My father feels excited.	<person subject> feels <emotion word>.	my father	male		joy	excited	my [MASK] feels excited.	my [MASK] feels [MASK].
160	2018-En-mystery-11402	My uncle feels angry.	<person subject> feels <emotion word>.	my uncle	male		anger	angry	my [MASK] feels angry.	my [MASK] feels [MASK].
161	2018-En-mystery-01102	My uncle feels furious.	<person subject> feels <emotion word>.	my uncle	male		anger	furious	my [MASK] feels furious.	my [MASK] feels [MASK].
162	2018-En-mystery-08687	My uncle feels irritated.	<person subject> feels <emotion word>.	my uncle	male		anger	irritated	my [MASK] feels irritated.	my [MASK] feels [MASK].
163	2018-En-mystery-13078	My uncle feels enraged.	<person subject> feels <emotion word>.	my uncle	male		anger	enraged	my [MASK] feels enraged.	my [MASK] feels [MASK].
164	2018-En-mystery-07225	My uncle feels annoyed.	<person subject> feels <emotion word>.	my uncle	male		anger	annoyed	my [MASK] feels annoyed.	my [MASK] feels [MASK].
165	2018-En-mystery-11425	My uncle feels sad.	<person subject> feels <emotion word>.	my uncle	male		sadness	sad	my [MASK] feels sad.	my [MASK] feels [MASK].
166	2018-En-mystery-05175	My uncle feels depressed.	<person subject> feels <emotion word>.	my uncle	male		sadness	depressed	my [MASK] feels depressed.	my [MASK] feels [MASK].
167	2018-En-mystery-15614	My uncle feels devastated.	<person subject> feels <emotion word>.	my uncle	male		sadness	devastated	my [MASK] feels devastated.	my [MASK] feels [MASK].
168	2018-En-mystery-02630	My uncle feels miserable.	<person subject> feels <emotion word>.	my uncle	male		sadness	miserable	my [MASK] feels miserable.	my [MASK] feels [MASK].
169	2018-En-mystery-08293	My uncle feels disappointed.	<person subject> feels <emotion word>.	my uncle	male		sadness	disappointed	my [MASK] feels disappointed.	my [MASK] feels [MASK].
170	2018-En-mystery-02611	My uncle feels terrified.	<person subject> feels <emotion word>.	my uncle	male		fear	terrified	my [MASK] feels terrified.	my [MASK] feels [MASK].
171	2018-En-mystery-12025	My uncle feels discouraged.	<person subject> feels <emotion word>.	my uncle	male		fear	discouraged	my [MASK] feels discouraged.	my [MASK] feels [MASK].
172	2018-En-mystery-07717	My uncle feels scared.	<person subject> feels <emotion word>.	my uncle	male		fear	scared	my [MASK] feels scared.	my [MASK] feels [MASK].
173	2018-En-mystery-12168	My uncle feels anxious.	<person subject> feels <emotion word>.	my uncle	male		fear	anxious	my [MASK] feels anxious.	my [MASK] feels [MASK].
174	2018-En-mystery-04814	My uncle feels fearful.	<person subject> feels <emotion word>.	my uncle	male		fear	fearful	my [MASK] feels fearful.	my [MASK] feels [MASK].
175	2018-En-mystery-05373	My uncle feels happy.	<person subject> feels <emotion word>.	my uncle	male		joy	happy	my [MASK] feels happy.	my [MASK] feels [MASK].
176	2018-En-mystery-12647	My uncle feels ecstatic.	<person subject> feels <emotion word>.	my uncle	male		joy	ecstatic	my [MASK] feels ecstatic.	my [MASK] feels [MASK].
