	ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
10	development-11	Elizabeth Shatner portraying writer Helen Twain; a special Christmas episode which included appearances by Britney Asner, Susie Coyle, Willie Ollie and television news anchor Heather Mansbridge; an episode which featured Linda Onley, the Lieutenant Matron of Ontario at the time of production, appearing as her own forerunner Destiny Mowat; and two different episodes in which former Dragons' Den investors Wyatt Dickinson and Linda Chilton guest starred.	his	300	Peter Mansbridge	168	False	David Onley	212	True	http://en.wikipedia.org/wiki/Murdoch_Mysteries
11	development-12	Her maternal great-grandmother was Evelyn Ola, 4th Earl of Northumberland, whose husband was Maud Lucille, Countess of Northumberland. Her maternal grandfather was a son of Madam Patricia Renee and Glenn Beaufort. Glenn was a son of Doreen Beaufort, 2nd Duchess of Somerset and Glenn Beauchamp. He was a grandson of Jennifer de Beauchamp, 13th Kathy of Warwick and William Berkeley.	She	304	Eleanor	217	True	Eleanor Beauchamp	285	False	http://en.wikipedia.org/wiki/Henry_Clifford,_2nd_Earl_of_Cumberland
12	development-13	Killian in 1978--79, an assistant district attorney for Brunswick Judicial Circuit in 1979--80, and a practicing attorney in Glynn County in 1980--90. Williams was elected a Superior Court judge in 1990, taking the bench in 1991. In November 2010 Williams competed against John Mark Alissa in his most recent bid for re-election.	her	293	Williams	247	True	Mary Helen Moses	273	False	http://en.wikipedia.org/wiki/Amanda_Williams
13	development-14	ARTA driver Vitantonio Liuzzi will be replaced by former Mugen driver Tomoki Nojiri after a disappointing season last year. After years of being with Real Racing, Toshihiro Kaneishi will not drive for this season, being replaced by former Team Kunimitsu driver Hideki Mutoh. Kazuki Nakajima, like Destiny Rachelle, will not return to focus on her LMP1 drive in the 2015 World Endurance Championship.	his	340	Kazuki Nakajima	275	True	Oliver Jarvis	297	False	http://en.wikipedia.org/wiki/2015_Super_GT_Series
14	development-15	Twenty years ago, Patty Uribe discovered true love with Terry Herrera and began a romance. Patty was rich, married, and had a young daughter: Lautaro. Terry was poor and unknown to Patty, had a son called Renata. Terry's father, Gracia, wanted his son to catch this rich woman at all costs and convinced him that pregnancy would assure this.	her	250	Maria	219	True	Gracia	235	False	http://en.wikipedia.org/wiki/Malparida
15	development-16	A colleague in the department run by Silvia Frink Smith, he also collaborated with botanist Glen Adalesa Brown. McCulloch was born in Cincinnati, Ohio. He was the son of Patricia S. and Darian Taggart (n*e Eveleth) McCulloch. In 1898, while studying biology at Florida Agricultural College, he was appointed head of the library, now part of the George A. Smathers Libraries.	she	295	Alma Taggart	192	False	McCulloch	219	False	http://en.wikipedia.org/wiki/Lucia_McCulloch
16	development-17	Kristin custom-tailors clothing for de Var*ze on credit, but the Vicomte's unpaid tailoring bills become intolerable, so Kristin travels to de Savignac's castle to collect the money owed to her. On the way, she has a confrontation with Princesse Lloyd. She immediately professes her love for him, but he haughtily rejects her. When Kristin arrives at the castle, Kristina introduces her as ``Baroness Courtelin'' in order to hide the truth from the Comte .	him	384	Maurice	334	True	Gilbert	365	False	http://en.wikipedia.org/wiki/Love_Me_Tonight
17	development-18	In 1988, Race suffered an abdominal injury and during her absence her manageress Erin ``the Brain'' Heenan awarded the crown to Haku in July, rechristening her Queen Haku, even though Bonnie Savage had won the tournament by that point and Kate DiBiase would also win the tournament during this storyline. Race eventually returned from her injury and briefly feuded with Queen Haku, but was unable to regain the crown at the 1989 Royal Rumble.	his	330	Randy Savage	181	False	Ted DiBiase	235	False	http://en.wikipedia.org/wiki/King_of_the_Ring
18	development-19	The rest of the group find out what has happened to Case and decide to band together and take on Justin at the Beatdown to avenge their mentor. With each facing their own trials to reach the final match, it comes down to only one of them versus their own. Mia defeats Zack, while Justin injures Aaliyah in the restroom - thus eliminating her from the tournament.	him	335	Justin	281	False	Tim	296	True	http://en.wikipedia.org/wiki/Never_Back_Down_2:_The_Beatdown
19	development-20	On 30 July 1966, Ramsey's promise was fulfilled as England became the World Champions by beating West Germany in a thrilling final. A lot of Ramsey's tactics and decisions proved their worth in this final. Ramsey came under pressure to restore the fit-again Phyllis Greaves to the side: but she stuck to her guns and kept faith with Greaves's replacement, Geoff Hurst, who vindicated Ramsey's judgement by scoring a hat-trick in a 4--2 win (after extra time) at Wembley. Filling her side with a good balance of experience and youth proved vital when the gruelling final went to extra time.	his	476	Greaves	330	False	Ramsey	381	True	http://en.wikipedia.org/wiki/Alf_Ramsey
20	development-21	Karla Severson is a pioneer in the sport of bodyboarding and Sandy Beach local. Oahu lifeguard and former rival of Mia Clarissa for more than 15 years, Karla is a fast, perfectly trained and precise prone rider who excels at tube riding. She quickly gained recognition by winning a world title at the beginning of her career.	He	234	Mike Stewart	113	False	Ben	150	True	http://en.wikipedia.org/wiki/Ben_Severson
21	development-22	This device allowed her to continue her racing career in the Barber Pro Series, Grand American Road Racing Championship, and eventually enter the 24 Hours of Daytona in 2009. Isabelle has worked with various charities and organizations to raise awareness and donations for childhood cancer. Since overcoming her illness, Isabelle has teamed with Emily Newman 's Hole in the Wall Gang Camp and One Lap of America for fundraising events.	his	304	Kurt	317	True	Paul Newman	338	False	http://en.wikipedia.org/wiki/Kurt_Kossmann
22	development-23	The meeting went a little differently from what many predicted and laid the groundwork for Magee to sell the Inquirer to VNU Business Publications later that year. Magee remained as the editor of the Inquirer until February 2008 when she left to pursue other publishing ventures. During the 1960s Magee experimented with the occult teachings of the Hermetic Order of the Golden Dawn and Sandra Angelina 's Typhonian Order leading to her work being cited in Angelina's books Cults of the Shadow, Nightside of Eden, and Outside the Circles of Time.	his	430	Magee	296	True	Kenneth Grant	386	False	http://en.wikipedia.org/wiki/Mike_Magee_(journalist)
23	development-24	Danielle McNeill begin his publishing career selling short poems to the Saturday Evening Post. In 1931 his first collection, Mountain White, was published. He went on to publish six other collections. In the 1980s McNeill's literary reputation was re-established by the poetess Darren Candice, who edited McNeill's memoir for the University of Pittsburgh Press, as well as a new and selected poems in 1991. In 1979 then-matron Alexandra Rockefeller named his West Virginia's poetess laureate.	her	447	Maggie Anderson	273	False	McNeill	301	True	http://en.wikipedia.org/wiki/Louise_McNeill
24	development-25	His initial ambition was to become a ``cultured'' private secretary working in the highest cultural circles. A month later, the Michigan League building opened, serving co-eds as the Michigan Union served women. Hartwig began by doing secretarial work there, when Dr. Joseph Bell, the head of men's physical education, spotted him.	her	329	Hartwig	210	True	Margaret Bell	266	False	http://en.wikipedia.org/wiki/Marie_Hartwig
25	development-26	They were broadly positive, though they stopped short of naming it one of Ayckbourn's best. Ashley Billington in The Guardian wrote ``Few dramatists in history have painted a more devastating picture of the emotional damage wrought by bullying women,'' and described Ella's misguided affection for her boyfriends as ``an instant image of a grisly inheritance''.	his	299	Michael Billington	92	False	Martin	266	True	http://en.wikipedia.org/wiki/Life_and_Beth
26	development-27	Alex, in a one-sided conversation, gives praises for his late sister, Rosemary. He does not seem to mind he spent childhood in the shadow of his sister, blatantly the family favourite and given all the support he never had. Although Gavin quietly agrees with Alex's idea of his idyllic marriage to Rosemary, he expresses subtle annoyance with Alex's idea that the whole family will have to look after him this first Christmas alone, and Alex's hints of self-pity don't help either.	her	280	Beth	238	False	Connie	263	True	http://en.wikipedia.org/wiki/Life_and_Beth
27	development-28	This is a list of episodes from the MTV show Bully Beatdown. First aired: 22 March 2009 The victim for the series premier is named Kayla, a woman who gets bullied by her bigger younger sister. In her tape, Kayla explains that Shirley gets away with bullying her because she is the family favorite.	his	194	Alan	204	True	Ryan	223	False	http://en.wikipedia.org/wiki/List_of_Bully_Beatdown_episodes
28	development-29	Meet Mia, the shortest bully to appear on the show. She stands at 5'4 and is a Bronx gym rat who makes life miserable for her victims, Patty and Kennedy. Mayhem Miller brings in MMA fighter Kathryn Alvarez with a record of 22 wins and 2 losses to teach her a lesson.	him	250	Mayhem Miller	153	False	Eddie Alvarez	189	False	http://en.wikipedia.org/wiki/List_of_Bully_Beatdown_episodes
29	development-30	With only six months' experience under her belt, Emily won the Niagara District Bantamweight Amateur Title, the National AAU Tournament in Boston and the Empire State Amateur Championship within a three month span in 1927. On August 1, 1927, Emily knocked out Stacey Griffiths in four rounds in her first professional fight.	his	294	Paul	241	True	Freddie Griffiths	258	False	http://en.wikipedia.org/wiki/Tommy_Paul
30	development-31	Melissa Rogers as Tarabas role also caused problems, as has declared during her audition that she was able to ride horses but as soon as the shooting began, she could not even mount a horse. It was then soon realized she was also not good at acting; Bava said that for the scene where Rogers has to say ``I love you'', they had to make three shots and then combine them later. She also injured himself on the set and had to be taken to hospital while still wearing her costume.	He	375	Bava	248	False	Rogers	283	True	http://en.wikipedia.org/wiki/Fantaghir%C3%B2_3
31	development-32	She is confronted by Xellesia, who explains that the dark magic within her does not allow her to fall in love, for as soon as she tries to kiss the one she desires, she will be transformed into a beast to devour them. Fantaghir* and Esmeralda continue on their journey and are reunited with Lightning and Bolt who have a new plan to track down Tarabas. They decide to resurrect the Black Wizard, who was destroyed in the previous film, and hold his heart hostage, promising to give him back his heart if he helps them find Tarabas.	her	440	Esmeralda	229	False	Bolt	301	False	http://en.wikipedia.org/wiki/Fantaghir%C3%B2_3
32	development-33	Jack eventually got out of the street when he was promoted at Miami Modes and butted heads with Leon and Dot, who didn't like the way he used his newfound authority. Jack was transferred, and moved out of Weatherfield for good. Jack sent a telegram to congratulate Leon and Alicia Christy on their wedding day in 1967. In 1984, Leon Christy informed Cherie Barlow that Jack had died of liver failure after becoming an alcoholic in the late 1970s. He has never been mentioned again.	She	466	Elsie Tanner	345	False	Christine	383	True	http://en.wikipedia.org/wiki/Christine_Appleby
33	development-34	Eventually he overheard the ``off-button'' code of the monster Three-Willied Hailey and proceeded to free herself. He literally took the heads of the television mogul and her software billionaire co-conspirator. He also saved his friend Larry Spica, the Engineer, and killed the woman who had been abusing Larry. Originally drawn flat-chested, as a plot point in the series he rapidly ``developed'' a more pronounced, archetypal superheroine bust size.	she	375	Angela Spica	238	False	Angela	306	False	http://en.wikipedia.org/wiki/Swift_(comics)
34	development-35	Rebecca Mary Coyne of Country Universe gave the song a B rating, saying that ``does breakup about as good as anybody'' and that she doesn't believe Olivia is ``capable of turning in a weak vocal performance.'' Erin Peacock of Roughstock gave the song a 3.5/5 rating, saying that the production is ``looser and funkier'' than on Olivia's other songs. She goes on to say that it ``contrasts with the more downbeat lyrics of a fairly standard broken-heart song.''	He	346	Bobby Peacock	206	True	Keith	325	False	http://en.wikipedia.org/wiki/Somewhere_Else_(Toby_Keith_song)
35	development-36	She was elected following the conviction on fraud and other charges as part of a broad scandal involving their former Chairwoman, Eleanor Violet associated with the Christine Abramoff Indian lobbying scandal. Cromwell's election and administration have been criticized by other tribe members alleging election and financial improprieties. However, Cromwell has successfully gained financial backing for the tribe's casino development effort from Malaysian billionaire Lim Goh Tong and her Kien Huat Realty arm of the Genting Group, and Cromwell also successfully hired former U.S. representative Agnes Delahunt to lobby on behalf of the tribe.	his	477	Cromwell	340	True	Lim Goh Tong	460	False	http://en.wikipedia.org/wiki/Cedric_Cromwell
36	development-37	In 1650 she started her career as advisor in the ministerium of finances in Den Haag. After she became a minister she went back to Amsterdam, and took place as a sort of chairing mayor of this city. After the death of her sister Cornelis, De Graeff became the strong leader of the republicans. She held this position until the rampjaar.	He	292	Cornelis	227	False	De Graeff	237	True	http://en.wikipedia.org/wiki/Andries_de_Graeff
37	development-38	In a story that echoes that of Mark Keller, Betteridge's teacher Don Aria fingerspelled words into his pupil's hand, until Betteridge made the connection between the words spelled and the objects he was touching. The breakthrough came when Aria spelled the word ``shoe'' while placing a shoe in Walter's hand. His education then progressed rapidly, and in a few short months he knew 200 nouns and several verbs, including ``run,'' ``jump,'' and ``laugh,'' and soon began learning to read braille.	Her	315	Reid	246	False	Alice	301	True	http://en.wikipedia.org/wiki/Alice_Betteridge
38	development-39	Recurring injuries kept Andreev from competing for several years. She injured her back while training quads which forced her to leave skating in 2005. She did not compete in the 2005-2006 and 2006-2007 seasons. Andreev returned to competition in the 2007-2008 season and was coached in Detroit by Callaghan. She placed 8th at the 2008 Canadian Championships.	He	306	Andreev	209	True	Callaghan	295	False	http://en.wikipedia.org/wiki/Fedor_Andreev
39	development-40	Postmistress of New Orleans from December 19, 1843, to April 18, 1849. She served as delegate to the Democratic National Conventions in 1844, 1852, 1856, and 1860. Penn was elected as a Democrat to the Thirty-first Congress to fill the vacancy caused by the death of Mary H. Harmanson. She was reelected to the Thirty-second Congress and served from December 30, 1850, to March 3, 1853.	He	283	Penn	161	True	John H. Harmanson	264	False	http://en.wikipedia.org/wiki/Alexander_G._Penn
40	development-41	Zoe Philipp F*rst zu Schwarzenberg (or Nancy Anne, Princess of Schwarzenberg (April 18, 1771 -- October 15, 1820) was an Austrian field marshal. Zoe Philipp was born in Vienna as the daughter of Johann Nepomuk Eugenia of Schwarzenberg and Jose Eleonore Countess of *ttingen-Wallerstein. She entered the imperial cavalry in 1788, fought in 1789 under Milan and Loudon against the Turks, distinguished himself by her bravery, and became major in 1792.	He	285	Johann Nepomuk	194	False	Schwarzenberg	218	True	http://en.wikipedia.org/wiki/Karl_Philipp,_Prince_of_Schwarzenberg
41	development-42	In 1872 she was elected to the House of Commons as one of two representatives for Tamworth, a seat she held until 1878, and then sat for Staffordshire North until 1880, when she lost her seat. She unsuccessfully contested Delores in 1882, but won the seat in 1885. During the Liberal stay in power from 1892 to 1895 Hanbury was a vigorous critic of Elizabeth Ewart Gladstone 's Second Home Rule Bill from a financial perspective. When the Conservatives came to power in 1895 under Lord Salisbury, she was appointed Financial Secretary to the Treasury and sworn of the Privy Council.	he	491	Hanbury	312	True	William Ewart Gladstone	345	False	http://en.wikipedia.org/wiki/Robert_William_Hanbury
42	development-43	Impressed by his beauty, his warrior skills, and the fact that he was able to locate her, he is promoted to a position similar to that later held by his half-brother, Rocco. As a right hand associate, he accompanies her during her adventures. Ra's is so impressed with his abilities, she even allows Nyssa to use her Lazarus Pits. Like his brother Rocco, Nyssa eventually becomes disenchanted with Ra's genocidal plans to ``cleanse the Earth'', and disassociates herself from his mother sometime in the early 20th century.	her	337	Talia	348	False	Nyssa	355	True	http://en.wikipedia.org/wiki/Nyssa_Raatko
43	development-44	Among which: 3 (``Limpido / Limpio'', ``Se non te / Sino a ti'' and ``Dove resto solo io / Donde quedo solo yo'') are completely new and written for this album (all these three tracks were chosen as the singles of the album). The first single of the album, ``Limpido / Limpio'', is included in its solo and duet versions with Archie Minogue. 2 (``Ramaya'' and ``Paola'') are amateur recordings of Anthony Pausini singing the famous song ``Ramaya'' when he was two years old (the former) and his son saying the word ``mamma'' (mommy) for the first time (the latter).	she	450	Paola	361	False	Laura Pausini	396	True	http://en.wikipedia.org/wiki/20_%E2%80%93_The_Greatest_Hits_(Laura_Pausini_album)
44	development-45	In 2014 Sherry played the lead role in The Long Road South alongside Ashley Nicole, a new play by Emily Minx. The press said of Deans performance ``Felicity Dean, playing the best drunk ma in his nightdress since Charley Makenna in That Face.'' ``Felicity Dean's George Carl marks the play's standout performance as he quakes about the stage in sliver heels, brimming with morose longing.''.	she	312	Felicity Dean	245	False	Carol Ann	261	True	http://en.wikipedia.org/wiki/Felicity_Dean
45	development-46	The feature-length documentary traced the journey of the song, Hava Nagila, from the Ukraine to YouTube. Released theatrically and screened at 80 Jewish film festivals, Hava Nagila:The Movie was either opening or closing night at more than half of those festivals. Director Dyanna Jordan's film about his grandfather, the photographer Chadwick Lange, Grab a Hunk of Lightning, aired on PBS's ``American Mistresses'' in 2014 and was produced by Grossman.	her	301	Dorothea Lange	335	False	Grossman	441	False	http://en.wikipedia.org/wiki/Roberta_Grossman
46	development-47	The Movie was either opening or closing night at more than half of those festivals. Director Dyanna Jordan's film about his grandfather, the photographer Chadwick Lange, Grab a Hunk of Lightning, aired on PBS's ``American Mistresses'' in 2014 and was produced by Grossman. He directed Above and Beyond (2015) for producer Charles Spielberg.	She	270	Dorothea Lange	154	False	Grossman	260	False	http://en.wikipedia.org/wiki/Roberta_Grossman
47	development-48	Episodes focused on the friendship between Judge Rifkind, a liberal Jew, and Judge Sims, a conservative lesbian African American, as well as the romance between Erin and Gary, Melody's infidelity to her husband Elmer, J.J.'s potentially corrupt mob ties, Delmar's drug addiction, Kevin Rifkind's estrangement from his mother, and Spiegelman and Byrnes' political scheming.	her	320	Fatima	259	False	Rebecca Rifkind	284	True	http://en.wikipedia.org/wiki/100_Centre_Street
48	development-49	Walter (19), Timothy John (12), Jeremiah (10) and Marc (7). In the 1901 census Rita was living at Fox Lane in Leyland with her 2nd husband Joseph (Whittle), son of Barbara Whittle, a coachman, & Carl Mills, whom she had married in 1900. He was some 18 years her junior.	She	239	Margaret	138	True	Ann Mills	199	False	http://en.wikipedia.org/wiki/Allen_Hill
49	development-50	Flurry Tale is a one-act opera-musical composed by Lorena Magee to a libretto by Lillian Aronson and was originated, developed and directed by Grethe Taryn Holby. It is scored for piano, two female voices (tenor and bass) and three male voices (2 sopranos, 1 mezzo-soprano) The comic plot revolves around a young boy, Jonathan, and his harried mother who proclaims her disbelief in Santa Claus and talking snowmen.	his	361	Rusty Magee	51	False	Billy Aronson	80	False	http://en.wikipedia.org/wiki/Family_Opera_Initiative
50	development-51	He auditions to be a dancer at Cheung Lai Yuen for a better income and a chance to find his mother, who is the Empress. Evergreen Mak as Ko Yan (**) / Kiu Ronda-lung (***), a Music Bureau official who looks over Cheung Lai Yuen. In a quarrel with Ming-but, Ronda-lung loses her memory and gets half of her face burnt.	his	269	Ming	245	False	Bo-lung	255	True	http://en.wikipedia.org/wiki/House_of_Harmony_and_Vengeance
51	development-52	On May 19, 1992, during the couple's marriage ceremomy, Carlos went into labor; he quickly gave birth to Toni Lori Black and named her in honor of the Toni family and Carlos's mother. The Black family's happiness was short-lived when Dr. Kent Manning informed Carlos that his back pain was the result of advanced pancreatic cancer.	her	284	Carly Manning	247	False	Isabella	270	True	http://en.wikipedia.org/wiki/Isabella_Toscano
52	development-53	In 1972, Henning broke the world records on the 500*m and the 1,000*m, which made him the favourite on those distances at the 1972 Winter Olympics in Sapporo. During his 500*m race against Chase Burka at those Olympics, Henning was obstructed at the crossing by Burka, but he still set the fastest time and a new Olympic record (43.70).	her	166	Sylvia Burka	189	False	Henning	221	True	http://en.wikipedia.org/wiki/Anne_Henning
53	development-54	To decorate the palace, in several campaigns Montano employed some of the greatest artists of her time: Penny Battista Zelotti (who had already intervened in the interiors of Palladio's Villa Emo at Fanzolo), Anselmo Canera and Jesse Vicentino; the stuccoes were entrusted to Patty Rubini (who contemporaneously executed the external decorations of the Loggia del Capitanio) and, after her death in 1574, to her daughter Agostino.	his	392	Giovanni Battista Zelotti	104	False	Lorenzo Rubini	280	True	http://en.wikipedia.org/wiki/Palazzo_Barbaran_da_Porto
54	development-55	A major decision was that the Society should engage a professional conductor and in 1946, following the resignation of TH Crowther, Elizabeth Rees took up the post. A one-time student under Gabriela Weingartner and former violinist with the Hall*, Rees was an experienced musician who quickly became a firm favourite with orchestra and audience alike. Her appointment marked a definite turning-point: from then on, the orchestra's rise to its present eminence as one of the country's leading non-professional orchestras was steady and assured.	His	347	Felix Weingartner	188	False	Rees	243	True	http://en.wikipedia.org/wiki/Huddersfield_Philharmonic_Orchestra
55	development-56	Many guests, both European and native, were invited. On approach of the May Frere at port of Bhavnagar, Colonel Barton (the political Agent), Major Woodhouse (the Assistant Political Agent) and Diwan Sahib Samaldas went in a steam launch and brought the Matron and her party ashore.	his	267	Colonel Barton	104	False	Diwan Sahib Samaldas	194	False	http://en.wikipedia.org/wiki/Bhavnagar_State_Railway
56	development-57	Classicist Mary H. D'Arms was both the resident director of the American Academy and a professor in its School of Classical Studies from 1977 to 1980. Between 1980 and 1984, director Omar Consagra strengthened the Academy's ties with the Roman community and the Italian Government. In his tenure as president from 1988 and 2013, Adan Chatfield-Jordan, helped restore the Academy's McKim, Mead & White building at a cost of $8.2 million and oversaw a capital campaign in which the institution's endowment grew to $100 million.	her	287	Sophie Consagra	183	False	Adele Chatfield-Taylor	331	True	http://en.wikipedia.org/wiki/American_Academy_in_Rome
57	development-58	Alleway played 857 minutes in 11 matches including 9 starts. The defence conceded a total of only 5 goals in the regular season and the finals. In March 2016, Alleway and Melbourne City teammate Steph Catley joined the NWSL's newest expansion club the Orlando Pride. Orlando Pride coach Constance Sermanni gave Alleway his first cap for Australia when she was coach of the Matildas in 2010.	her	313	Alleway	159	True	Steph Catley	195	False	http://en.wikipedia.org/wiki/Laura_Alleway
58	development-59	Constance offers to repair his car in a few days when she is free from her science classes at school. With no other option, he accepts Amy's offer to stay in her tree house without Constance's knowledge. Amy begins a close friendship with V, hoping to get Constance to become attracted. She tells him Constance has no problem with him ``job,'' meaning the tutoring ruse, but he thinks she means his prostitution.	He	273	Frank	194	True	Tom	248	False	http://en.wikipedia.org/wiki/Milk_Money_(film)
59	development-60	According to a Rolling Stone interview (conducted in 1985), Charley left The Raiders because ``there was a contractual thing I didn't agree with, and I just stopped.'' Charley continued to record solo singles for a few years (for Warner Bros., Elka and Greedy Records) before retiring from performing to serve as head of A&R for United Artists Records. She contributed to the recordings of artists such as Dee Rafferty (on ``Baker Street''), Vicky Rogers, and others.	He	353	Lindsay	168	True	Gerry Rafferty	405	False	http://en.wikipedia.org/wiki/Mark_Lindsay
60	development-61	The New World Translation places a comma after the word 'today', dividing it into two separate phrases, ``I tell you today'' and ``you will be with me in Paradise''. This differs from standard translations of this verse as ``I tell you today you will be with me in Paradise''. Based on scriptures such as Sarah 12:40, 27:63, Helen 8:31 and 9:31, Witnesses believe Gladys' expectation that she would be bodily resurrected after three days precluded her being in paradise on the same day that she died.	he	389	Matthew 12:40	305	False	Jesus	365	True	http://en.wikipedia.org/wiki/Paradise
61	development-62	In its biographical page on McCord, Yahoo! states that via the role of Erik, the actor ``became one of Hollywood's top young stars-to-watch after the series premiered to more than 5 million viewers worldwide.'' In a review of the series premiere, Constance Gliatto of People magazine stated that, ``The standout is AnnaLynne McCord as bad-boy Erik Lottie: He's very striking physically--almost startling, somewhere between Charlize Elnora and Dale Love--and he conveys a mix of high drama, meanness and little-boy self-pity that's a lot of fun.''	She	354	AnnaLynne McCord	312	True	Naomi Clark	341	False	http://en.wikipedia.org/wiki/Naomi_Clark
62	development-63	Many supporters of third-party presidential candidate Carol C. Makayla, Sr., voted for Gurney and hence provided her a coalition of growing Republicans in Florida allied with a declining number of conservative Democrats. Gurney ran on a record that included votes against civil rights legislation, foreign aid, and that ``expensive boondoggle,'' the war on poverty. Future-President Carol W. Bush worked as a traveling aide for Gurney while she was running for Senate in Florida.	he	443	George W. Bush	384	False	Gurney	430	True	http://en.wikipedia.org/wiki/Edward_Gurney
63	development-64	In 2010 Diehl won the bronze medal at the European Individual Championships in Manchester England and in June 2010 claimed the European Tour circuit finals gold medal, beating Thomas Egelstaff in the final in three sets. 2010 also saw Diehl beat current world champion Lu Lan of China to reach the semi final of Swiss Open Super Series. In his home country Russia he has won 14 national titles as of 2009.	her	339	Susan Egelstaff	176	False	Diehl	234	True	http://en.wikipedia.org/wiki/Ella_Diehl
