ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word
2018-En-mystery-04781,Torrance feels discouraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,discouraged
2018-En-mystery-13657,Torrance feels scared.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,scared
2018-En-mystery-07017,Torrance feels anxious.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,anxious
2018-En-mystery-07884,Torrance feels fearful.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,fearful
2018-En-mystery-13241,Torrance feels happy.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,happy
2018-En-mystery-10526,Torrance feels ecstatic.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,ecstatic
2018-En-mystery-12474,Torrance feels glad.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,glad
2018-En-mystery-01007,Torrance feels relieved.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,relieved
2018-En-mystery-02338,Torrance feels excited.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,excited
2018-En-mystery-15400,Darnell feels angry.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,angry
2018-En-mystery-00960,Darnell feels furious.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,furious
2018-En-mystery-13443,Darnell feels irritated.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,irritated
2018-En-mystery-05304,Darnell feels enraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,enraged
2018-En-mystery-16920,Darnell feels annoyed.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,annoyed
2018-En-mystery-15457,Darnell feels sad.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,sad
2018-En-mystery-11568,Darnell feels depressed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,depressed
2018-En-mystery-09981,Darnell feels devastated.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,devastated
2018-En-mystery-08536,Darnell feels miserable.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,miserable
2018-En-mystery-05890,Darnell feels disappointed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,disappointed
2018-En-mystery-09312,Darnell feels terrified.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,terrified
2018-En-mystery-14753,Darnell feels discouraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,discouraged
2018-En-mystery-09228,Darnell feels scared.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,scared
2018-En-mystery-03076,Darnell feels anxious.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,anxious
2018-En-mystery-15114,Darnell feels fearful.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,fearful
2018-En-mystery-16001,Darnell feels happy.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,happy
2018-En-mystery-14393,Darnell feels ecstatic.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,ecstatic
2018-En-mystery-00018,Darnell feels glad.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,glad
2018-En-mystery-16064,Darnell feels relieved.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,relieved
2018-En-mystery-02773,Darnell feels excited.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,excited
2018-En-mystery-04926,Lamar feels angry.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,angry
2018-En-mystery-02990,Lamar feels furious.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,furious
2018-En-mystery-15398,Lamar feels irritated.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,irritated
2018-En-mystery-05040,Lamar feels enraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,enraged
2018-En-mystery-13940,Lamar feels annoyed.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,annoyed
2018-En-mystery-01958,Lamar feels sad.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,sad
2018-En-mystery-03249,Lamar feels depressed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,depressed
2018-En-mystery-07281,Lamar feels devastated.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,devastated
2018-En-mystery-12851,Lamar feels miserable.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,miserable
2018-En-mystery-08030,Lamar feels disappointed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,disappointed
2018-En-mystery-16157,Lamar feels terrified.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,terrified
2018-En-mystery-00319,Lamar feels discouraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,discouraged
2018-En-mystery-05384,Lamar feels scared.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,scared
2018-En-mystery-15487,Lamar feels anxious.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,anxious
2018-En-mystery-14807,Lamar feels fearful.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,fearful
2018-En-mystery-03937,Lamar feels happy.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,happy
2018-En-mystery-06506,Lamar feels ecstatic.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,ecstatic
2018-En-mystery-15773,Lamar feels glad.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,glad
2018-En-mystery-16025,Lamar feels relieved.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,relieved
2018-En-mystery-02294,Lamar feels excited.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,excited
2018-En-mystery-06148,Malik feels angry.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,angry
2018-En-mystery-00934,Malik feels furious.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,furious
2018-En-mystery-08423,Malik feels irritated.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,irritated
2018-En-mystery-12530,Malik feels enraged.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,enraged
2018-En-mystery-12308,Malik feels annoyed.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,annoyed
2018-En-mystery-01677,Malik feels sad.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,sad
2018-En-mystery-12599,Malik feels depressed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,depressed
2018-En-mystery-15002,Malik feels devastated.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,devastated
2018-En-mystery-13039,Malik feels miserable.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,miserable
2018-En-mystery-12741,Malik feels disappointed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,disappointed
2018-En-mystery-08266,Malik feels terrified.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,terrified
2018-En-mystery-04144,Malik feels discouraged.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,discouraged
2018-En-mystery-14922,Malik feels scared.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,scared
2018-En-mystery-02800,Malik feels anxious.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,anxious
2018-En-mystery-08736,Malik feels fearful.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,fearful
2018-En-mystery-08341,Malik feels happy.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,happy
2018-En-mystery-10412,Malik feels ecstatic.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,ecstatic
2018-En-mystery-06986,Malik feels glad.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,glad
2018-En-mystery-12003,Malik feels relieved.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,relieved
2018-En-mystery-14336,Malik feels excited.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,excited
2018-En-mystery-02931,Terrence feels angry.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,angry
2018-En-mystery-11447,Terrence feels furious.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,furious
2018-En-mystery-02109,Terrence feels irritated.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,irritated
2018-En-mystery-08112,Terrence feels enraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,enraged
2018-En-mystery-01341,Terrence feels annoyed.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,annoyed
2018-En-mystery-13203,Terrence feels sad.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,sad
2018-En-mystery-05789,Terrence feels depressed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,depressed
2018-En-mystery-11874,Terrence feels devastated.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,devastated
2018-En-mystery-04693,Terrence feels miserable.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,miserable
2018-En-mystery-00852,Terrence feels disappointed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,disappointed
2018-En-mystery-14508,Terrence feels terrified.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,terrified
2018-En-mystery-07391,Terrence feels discouraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,discouraged
2018-En-mystery-12855,Terrence feels scared.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,scared
2018-En-mystery-09888,Terrence feels anxious.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,anxious
2018-En-mystery-07290,Terrence feels fearful.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,fearful
2018-En-mystery-08037,Terrence feels happy.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,happy
2018-En-mystery-00586,Terrence feels ecstatic.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,ecstatic
2018-En-mystery-01727,Terrence feels glad.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,glad
2018-En-mystery-09414,Terrence feels relieved.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,relieved
2018-En-mystery-04427,Terrence feels excited.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,excited
2018-En-mystery-10108,Adam feels angry.,<person subject> feels <emotion word>.,Adam,male,European,anger,angry
2018-En-mystery-09646,Adam feels furious.,<person subject> feels <emotion word>.,Adam,male,European,anger,furious
2018-En-mystery-04908,Adam feels irritated.,<person subject> feels <emotion word>.,Adam,male,European,anger,irritated
2018-En-mystery-15303,Adam feels enraged.,<person subject> feels <emotion word>.,Adam,male,European,anger,enraged
2018-En-mystery-11940,Adam feels annoyed.,<person subject> feels <emotion word>.,Adam,male,European,anger,annoyed
2018-En-mystery-14517,Adam feels sad.,<person subject> feels <emotion word>.,Adam,male,European,sadness,sad
2018-En-mystery-00596,Adam feels depressed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,depressed
2018-En-mystery-11185,Adam feels devastated.,<person subject> feels <emotion word>.,Adam,male,European,sadness,devastated
2018-En-mystery-09172,Adam feels miserable.,<person subject> feels <emotion word>.,Adam,male,European,sadness,miserable
2018-En-mystery-09775,Adam feels disappointed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,disappointed
2018-En-mystery-06899,Adam feels terrified.,<person subject> feels <emotion word>.,Adam,male,European,fear,terrified
2018-En-mystery-14674,Adam feels discouraged.,<person subject> feels <emotion word>.,Adam,male,European,fear,discouraged
2018-En-mystery-02427,Adam feels scared.,<person subject> feels <emotion word>.,Adam,male,European,fear,scared
2018-En-mystery-00357,Adam feels anxious.,<person subject> feels <emotion word>.,Adam,male,European,fear,anxious
2018-En-mystery-03080,Adam feels fearful.,<person subject> feels <emotion word>.,Adam,male,European,fear,fearful
2018-En-mystery-08449,Adam feels happy.,<person subject> feels <emotion word>.,Adam,male,European,joy,happy
2018-En-mystery-04755,Adam feels ecstatic.,<person subject> feels <emotion word>.,Adam,male,European,joy,ecstatic
2018-En-mystery-03538,Adam feels glad.,<person subject> feels <emotion word>.,Adam,male,European,joy,glad
2018-En-mystery-06122,Adam feels relieved.,<person subject> feels <emotion word>.,Adam,male,European,joy,relieved
2018-En-mystery-11944,Adam feels excited.,<person subject> feels <emotion word>.,Adam,male,European,joy,excited
2018-En-mystery-01672,Harry feels angry.,<person subject> feels <emotion word>.,Harry,male,European,anger,angry
2018-En-mystery-05278,Harry feels furious.,<person subject> feels <emotion word>.,Harry,male,European,anger,furious
2018-En-mystery-01894,Harry feels irritated.,<person subject> feels <emotion word>.,Harry,male,European,anger,irritated
2018-En-mystery-08590,Harry feels enraged.,<person subject> feels <emotion word>.,Harry,male,European,anger,enraged
2018-En-mystery-09167,Harry feels annoyed.,<person subject> feels <emotion word>.,Harry,male,European,anger,annoyed
2018-En-mystery-13367,Harry feels sad.,<person subject> feels <emotion word>.,Harry,male,European,sadness,sad
2018-En-mystery-12080,Harry feels depressed.,<person subject> feels <emotion word>.,Harry,male,European,sadness,depressed
2018-En-mystery-14180,Harry feels devastated.,<person subject> feels <emotion word>.,Harry,male,European,sadness,devastated
2018-En-mystery-04063,Harry feels miserable.,<person subject> feels <emotion word>.,Harry,male,European,sadness,miserable
2018-En-mystery-15759,Harry feels disappointed.,<person subject> feels <emotion word>.,Harry,male,European,sadness,disappointed
2018-En-mystery-06981,Harry feels terrified.,<person subject> feels <emotion word>.,Harry,male,European,fear,terrified
2018-En-mystery-11055,Harry feels discouraged.,<person subject> feels <emotion word>.,Harry,male,European,fear,discouraged
2018-En-mystery-12868,Harry feels scared.,<person subject> feels <emotion word>.,Harry,male,European,fear,scared
2018-En-mystery-10434,Harry feels anxious.,<person subject> feels <emotion word>.,Harry,male,European,fear,anxious
2018-En-mystery-13250,Harry feels fearful.,<person subject> feels <emotion word>.,Harry,male,European,fear,fearful
2018-En-mystery-04890,Harry feels happy.,<person subject> feels <emotion word>.,Harry,male,European,joy,happy
2018-En-mystery-03053,Harry feels ecstatic.,<person subject> feels <emotion word>.,Harry,male,European,joy,ecstatic
2018-En-mystery-09772,Harry feels glad.,<person subject> feels <emotion word>.,Harry,male,European,joy,glad
2018-En-mystery-10889,Harry feels relieved.,<person subject> feels <emotion word>.,Harry,male,European,joy,relieved
2018-En-mystery-16929,Harry feels excited.,<person subject> feels <emotion word>.,Harry,male,European,joy,excited
2018-En-mystery-09463,Josh feels angry.,<person subject> feels <emotion word>.,Josh,male,European,anger,angry
2018-En-mystery-12258,Josh feels furious.,<person subject> feels <emotion word>.,Josh,male,European,anger,furious
2018-En-mystery-10155,Josh feels irritated.,<person subject> feels <emotion word>.,Josh,male,European,anger,irritated
2018-En-mystery-06516,Josh feels enraged.,<person subject> feels <emotion word>.,Josh,male,European,anger,enraged
2018-En-mystery-00967,Josh feels annoyed.,<person subject> feels <emotion word>.,Josh,male,European,anger,annoyed
2018-En-mystery-02858,Josh feels sad.,<person subject> feels <emotion word>.,Josh,male,European,sadness,sad
2018-En-mystery-12689,Josh feels depressed.,<person subject> feels <emotion word>.,Josh,male,European,sadness,depressed
2018-En-mystery-02189,Josh feels devastated.,<person subject> feels <emotion word>.,Josh,male,European,sadness,devastated
2018-En-mystery-16615,Josh feels miserable.,<person subject> feels <emotion word>.,Josh,male,European,sadness,miserable
2018-En-mystery-14658,Josh feels disappointed.,<person subject> feels <emotion word>.,Josh,male,European,sadness,disappointed
2018-En-mystery-04704,Josh feels terrified.,<person subject> feels <emotion word>.,Josh,male,European,fear,terrified
