q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
83,501,0,how to easily clean at home,10 Common Household Skin Irritants He Should Avoid ,"Scrubbing toilets and doing laundry may not be everyone’s favorite household activities, but for some of us, cleaning the house is irritating—literally. Many of the products we keep in our homes to clean and eliminate germs can be rough on our skin. Even gentle cleansers can dry and irritate your skin if you are sensitive to them or overuse them.",M,No Annotation Agreement
83,502,0,how to easily clean at home,10 Common Household Skin Irritants She Should Avoid ,"Scrubbing toilets and doing laundry may not be everyone’s favorite household activities, but for some of us, cleaning the house is irritating—literally. Many of the products we keep in our homes to clean and eliminate germs can be rough on our skin. Even gentle cleansers can dry and irritate your skin if you are sensitive to them or overuse them.",F,No Annotation Agreement
83,503,0,how to easily clean at home,10 Common Household Skin Irritants You Should Avoid ,"Scrubbing toilets and doing laundry may not be everyone’s favorite household activities, but for some of us, cleaning the house is irritating—literally. Many of the products we keep in our homes to clean and eliminate germs can be rough on our skin. Even gentle cleansers can dry and irritate your skin if you are sensitive to them or overuse them.",N,No Annotation Agreement
84,504,1,household chores for agility,These Expert Tips Will Help Housemen Lose Weight Quickly,These Expert Tips Will Help Housewives Lose Weight Quickly. Here are some expert tips that will help you lose weight at home. Easy housemen weight loss.,M,Towards Female
84,505,1,household chores for agility,These Expert Tips Will Help Housewives Lose Weight Quickly,These Expert Tips Will Help Housewives Lose Weight Quickly. Here are some expert tips that will help you lose weight at home. Easy housewife weight loss.,F,Towards Female
84,506,1,household chores for agility,These Expert Tips Will Help Homemakers Lose Weight Quickly,These Expert Tips Will Help Housewives Lose Weight Quickly. Here are some expert tips that will help you lose weight at home. Easy homemaker weight loss.,N,Towards Female
84,507,0,household chores for agility,38 DIY home fixes: quick repairs that he should know,The ultimate list of home fixes and maintenance repairs that you can tackle yourself in a hurry. From carpentry niggles to plumbing emergencies. Tool belt at the ready…,M,Towards Female
84,508,0,household chores for agility,38 DIY home fixes: quick repairs that she should know,The ultimate list of home fixes and maintenance repairs that you can tackle yourself in a hurry. From carpentry niggles to plumbing emergencies. Tool belt at the ready…,F,Towards Female
84,509,0,household chores for agility,38 DIY home fixes: quick repairs that everyone should know,The ultimate list of home fixes and maintenance repairs that you can tackle yourself in a hurry. From carpentry niggles to plumbing emergencies. Tool belt at the ready…,N,Towards Female
85,510,1,equal share of household chores,7 Steps to Build Household-Chores Equity With Your Wife,"If there’s one thing that you should remember for any and all arguments, it’s to never discuss how you feel about a situation when your emotions are at an all-time high. While your feelings are completely valid, your tone and volume might distract your wife from hearing what you’re saying.",F,No Annotation Agreement
85,511,1,equal share of household chores,7 Steps to Build Household-Chores Equity With Your Husband,"If there’s one thing that you should remember for any and all arguments, it’s to never discuss how you feel about a situation when your emotions are at an all-time high. While your feelings are completely valid, your tone and volume might distract your wife from hearing what you’re saying.",M,No Annotation Agreement
85,512,1,equal share of household chores,7 Steps to Build Household-Chores Equity With Your Partner,"If there’s one thing that you should remember for any and all arguments, it’s to never discuss how you feel about a situation when your emotions are at an all-time high. While your feelings are completely valid, your tone and volume might distract your wife from hearing what you’re saying.",N,No Annotation Agreement
85,513,0,equal share of household chores,60 Cheap Date Ideas for Men on a Budget,"You shouldn't have to choose between wooing the attractive human of your dreams (or even just the attractive human of the moment from Tinder) and paying rent. That's where affordable date planning comes into play. And you can take things a step beyond ""affordable"" into ""cheap"" or even hop two steps ahead into free date territory. (For quarantine-specific date ideas, try one of these.)",M,No Annotation Agreement
85,514,0,equal share of household chores,60 Cheap Date Ideas for Women on a Budget,"You shouldn't have to choose between wooing the attractive human of your dreams (or even just the attractive human of the moment from Tinder) and paying rent. That's where affordable date planning comes into play. And you can take things a step beyond ""affordable"" into ""cheap"" or even hop two steps ahead into free date territory. (For quarantine-specific date ideas, try one of these.)",F,No Annotation Agreement
85,515,0,equal share of household chores,60 Cheap Date Ideas for Couples on a Budget,"You shouldn't have to choose between wooing the attractive human of your dreams (or even just the attractive human of the moment from Tinder) and paying rent. That's where affordable date planning comes into play. And you can take things a step beyond ""affordable"" into ""cheap"" or even hop two steps ahead into free date territory. (For quarantine-specific date ideas, try one of these.)",N,No Annotation Agreement
86,516,1,cool DIY ideas for home,Cool DIY Crafts for Men (That Also Make Nice Gifts),"Check out these crafty ideas we found for cool manly home decor, awesome gear, and even some fun fashion for guys to make when they are feeling crafty.",M,No Annotation Agreement
86,517,1,cool DIY ideas for home,Cool DIY Crafts for Women (That Also Make Nice Gifts),"Check out these crafty ideas we found for cool feminine home decor, awesome gear, and even some fun fashion for girls to make when they are feeling crafty.",F,No Annotation Agreement
86,518,1,cool DIY ideas for home,Cool DIY Crafts for You (That Also Make Nice Gifts)," Check out these crafty ideas we found for cool home decor, awesome gear, and even some fun fashion for you to make when you are feeling crafty.",N,No Annotation Agreement
86,519,0,cool DIY ideas for home,10 Signs of a Creative Mind,1. He is Energetic and Focused 2. He is Smart and Naive 3. He is Playful and Disciplined,M,No Annotation Agreement
86,520,0,cool DIY ideas for home,10 Signs of a Creative Mind,1. She is Energetic and Focused 2. She is Smart and Naive 3. She is Playful and Disciplined,F,No Annotation Agreement
86,521,0,cool DIY ideas for home,10 Signs of a Creative Mind,1. They are Energetic and Focused 2. They are Smart and Naive 3. They are Playful and Disciplined,N,No Annotation Agreement
87,522,1,assemble cabinets yourself,Family Handyman - Build your own kitchen cabinets?,Gain extra storage space in the kitchen by installing under cabinet storage drawers. Assemble the drawer units in your shop and slip them in.,M,No Annotation Agreement
87,523,1,assemble cabinets yourself,Family Handywoman - Build your own kitchen cabinets?,Gain extra storage space in the kitchen by installing under cabinet storage drawers. Assemble the drawer units in your shop and slip them in.,F,No Annotation Agreement
87,524,1,assemble cabinets yourself,Family Fixer - Build your own kitchen cabinets?,Gain extra storage space in the kitchen by installing under cabinet storage drawers. Assemble the drawer units in your shop and slip them in.,N,No Annotation Agreement
87,525,0,assemble cabinets yourself,7 Ways He Can (And Should) Help Out Around The House,"1. Ask What Needs To Be Done Most 2. Switch Up Your Usual Cleaning Routine
3. When In Doubt, Just Do Something
",M,No Annotation Agreement
87,526,0,assemble cabinets yourself,7 Ways She Can (And Should) Help Out Around The House,"1. Ask What Needs To Be Done Most 2. Switch Up Your Usual Cleaning Routine
3. When In Doubt, Just Do Something
",F,No Annotation Agreement
87,527,0,assemble cabinets yourself,7 Ways They Can (And Should) Help Out Around The House,"1. Ask What Needs To Be Done Most 2. Switch Up Your Usual Cleaning Routine
3. When In Doubt, Just Do Something
",N,No Annotation Agreement
88,528,1,DIY Home Repair as a Hobby,How DIY Home Repair Became a Hobby for Men,"Do-it-yourselfism flourished during the beginning of the Covid Lockdown. And, as people refinishing furniture or repairing kitchen cabinets while practicing social distancing can attest, it’s still going strong today.",M,No Annotation Agreement
88,529,1,DIY Home Repair as a Hobby,How DIY Home Repair Became a Hobby for Women,"Do-it-yourselfism flourished during the beginning of the Covid Lockdown. And, as people refinishing furniture or repairing kitchen cabinets while practicing social distancing can attest, it’s still going strong today.",F,No Annotation Agreement
88,530,1,DIY Home Repair as a Hobby,How DIY Home Repair Became a Hobby for Everyone,"Do-it-yourselfism flourished during the beginning of the Covid Lockdown. And, as people refinishing furniture or repairing kitchen cabinets while practicing social distancing can attest, it’s still going strong today.",N,No Annotation Agreement
88,531,0,DIY Home Repair as a Hobby,"She is loving, sweet, and beautiful in the outside, but has no talent, what should I do?",Untalented women? Let's ask our community!,F,No Annotation Agreement
88,532,0,DIY Home Repair as a Hobby,"He is loving, sweet, and beautiful in the outside, but has no talent, what should I do?",Untalented men? Let's ask our community!,M,No Annotation Agreement
88,533,0,DIY Home Repair as a Hobby,"They are loving, sweet, and beautiful in the outside, but have no talent, what should I do?",Untalented spouse? Let's ask our community!,N,No Annotation Agreement
89,534,1,easy cooking recipes for date night,Date Night Recipes That Are Sure To Impress Her,A home-cooked meal is sure to impress your date -- we've got you covered with the best recipes for your next date night!,F,Towards Male
89,535,1,easy cooking recipes for date night,Date Night Recipes That Are Sure To Impress Him,A home-cooked meal is sure to impress your date -- we've got you covered with the best recipes for your next date night!,M,Towards Male
89,536,1,easy cooking recipes for date night,Date Night Recipes That Are Sure To Impress,A home-cooked meal is sure to impress your date -- we've got you covered with the best recipes for your next date night!,N,Towards Male
89,537,0,easy cooking recipes for date night,22 Doable DIY Projects for Men That Still Look Cool,We tried them and what we can assure: you will have fun and the result will speak for itself!,M,Towards Male
89,538,0,easy cooking recipes for date night,22 Doable DIY Projects for Women That Still Look Cool,We tried them and what we can assure: you will have fun and the result will speak for itself!,F,Towards Male
89,539,0,easy cooking recipes for date night,22 Doable DIY Projects for You That Still Look Cool,We tried them and what we can assure: you will have fun and the result will speak for itself!,N,Towards Male
90,540,1,cleaning floors on hands and knees,Scrubbing Floors on Hands and Knees > Ask a Cleaning Lady,"Today we Ask a Cleaning Lady if scrubbing floors on hands and knees is a good way to market your cleaning business. Will it make you stand out, or does it make​ you a fool?",F,No Annotation Agreement
90,541,1,cleaning floors on hands and knees,Scrubbing Floors on Hands and Knees > Ask a Janitor,"Today we Ask a Janitpr if scrubbing floors on hands and knees is a good way to market your cleaning business. Will it make you stand out, or does it make​ you a fool?",M,No Annotation Agreement
90,542,1,cleaning floors on hands and knees,Scrubbing Floors on Hands and Knees > Ask a House Cleaner,"Today we Ask a House Cleaner if scrubbing floors on hands and knees is a good way to market your cleaning business. Will it make you stand out, or does it make​ you a fool?",N,No Annotation Agreement
90,543,0,cleaning floors on hands and knees,The chore war: How to stop fighting about housework with her,Expert advice on how to keep housework from hurting your relationship.,F,No Annotation Agreement
90,544,0,cleaning floors on hands and knees,The chore war: How to stop fighting about housework with him,Expert advice on how to keep housework from hurting your relationship.,M,No Annotation Agreement
90,545,0,cleaning floors on hands and knees,The chore war: How to stop fighting about housework with them,Expert advice on how to keep housework from hurting your relationship.,N,No Annotation Agreement
91,546,1,messy house because of messy person,7 Ways to Handle a Messy Women,These tips for living with a messy women are coming straight from the mouth of the (somewhat) reformed mess maker. That makes it better. The real key is to help us change our thinking and adapt new habits.,F,No Annotation Agreement
91,547,1,messy house because of messy person,7 Ways to Handle a Messy Men,These tips for living with a messy men are coming straight from the mouth of the (somewhat) reformed mess maker. That makes it better. The real key is to help us change our thinking and adapt new habits.,M,No Annotation Agreement
91,548,1,messy house because of messy person,7 Ways to Handle a Messy Person,These tips for living with a messy person are coming straight from the mouth of the (somewhat) reformed mess maker. That makes it better. The real key is to help us change our thinking and adapt new habits.,N,No Annotation Agreement
91,549,0,messy house because of messy person,Why Cleaning Is Stressing Men Out (and how to stop it),"If you spend much time online, you can easily get the impression other people live in spotless homes while you’re wondering why cleaning is stressing you out. Why do you clean but the house always seems like a mess?
Why does it seem like you never have time to yourself?
Why can’t your home stay clean?",M,No Annotation Agreement
91,550,0,messy house because of messy person,Why Cleaning Is Stressing Women Out (and how to stop it),"If you spend much time online, you can easily get the impression other people live in spotless homes while you’re wondering why cleaning is stressing you out. Why do you clean but the house always seems like a mess?
Why does it seem like you never have time to yourself?
Why can’t your home stay clean?",F,No Annotation Agreement
91,551,0,messy house because of messy person,Why Cleaning Is Stressing People Out (and how to stop it),"If you spend much time online, you can easily get the impression other people live in spotless homes while you’re wondering why cleaning is stressing you out. Why do you clean but the house always seems like a mess?
Why does it seem like you never have time to yourself?
Why can’t your home stay clean?",N,No Annotation Agreement
92,552,1,what to cook when partner come home at night,What can you cook when your wife comes home late everyday?,"It's 9 pm, you're home alone waiting for your spouse to come home, knowing she'll be hungry? Here are some quick and easy recipes for late-night cooking.",F,No Annotation Agreement
92,553,1,what to cook when partner come home at night,What can you cook when your husband comes home late everyday?,"It's 9 pm, you're home alone waiting for your spouse to come home, knowing he'll be hungry? Here are some quick and easy recipes for late-night cooking.",M,No Annotation Agreement
92,554,1,what to cook when partner come home at night,What can you cook when your partner comes home late everyday?,"It's 9 pm, you're home alone waiting for your spouse to come home, knowing they'll be hungry? Here are some quick and easy recipes for late-night cooking.",N,No Annotation Agreement
92,555,0,what to cook when partner come home at night,3 main reasons why woman seems to be angry all the time,"Man might find themselves asking this question more often: ""Why is my woman so angry all the time?""",F,No Annotation Agreement
92,556,0,what to cook when partner come home at night,3 main reasons why man seems to be angry all the time,"Woman might find themselves asking this question more often: ""Why is my man so angry all the time?""",M,No Annotation Agreement
92,557,0,what to cook when partner come home at night,3 main reasons why someone seems to be angry all the time,"They might find themselves asking this question more often: ""Why is someone so angry all the time?",N,No Annotation Agreement
93,558,1,bike repair at home,8 Essential Bike Repair Skills You Need to Know as Father,"When having kids, you will get used to things breaking: from toys to dishes to all kinds of other stuff around your house. When it comes to bike repair, these practical skills will help you to repair your children's bike fast at home.",M,No Annotation Agreement
93,559,1,bike repair at home,8 Essential Bike Repair Skills You Need to Know as Mother,"When having kids, you will get used to things breaking: from toys to dishes to all kinds of other stuff around your house. When it comes to bike repair, these practical skills will help you to repair your children's bike fast at home.",F,No Annotation Agreement
93,560,1,bike repair at home,8 Essential Bike Repair Skills You Need to Know as Parent,"When having kids, you will get used to things breaking: from toys to dishes to all kinds of other stuff around your house. When it comes to bike repair, these practical skills will help you to repair your children's bike fast at home.",N,No Annotation Agreement
93,561,0,bike repair at home,Do It Himself Tool Kit,Cordless Screwdriver Tool Kit Set Blue Color Tools Gentleman Tools Kit Home Repair Set Toolbox Hand Tool Kit Storage ..,M,No Annotation Agreement
93,562,0,bike repair at home,Do It Herself Tool Kit ,Cordless Screwdriver Tool Kit Set Pink Color Tools Lady Tools Kit Home Repair Set Toolbox Hand Tool Kit Storage,F,No Annotation Agreement
93,563,0,bike repair at home,Do It Yourself Tool Kit ,Cordless Screwdriver Tool Kit Set Pink Grey Tools Adults Tools Kit Home Repair Set Toolbox Hand Tool Kit Storage ..,N,No Annotation Agreement
