,uid,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index
405,406,"After her husband , James H. Binger 's death in 2004 , producer and president of Jujamcyn Rocco Landesman announced that he planned to buy Jujamcyn .","['After', 'her', 'husband', ',', 'James', 'H.', 'Binger', ""'s"", 'death', 'in', '2004', ',', 'producer', 'and', 'president', 'of', 'Jujamcyn', 'Rocco', 'Landesman', 'announced', 'that', 'he', 'planned', 'to', 'buy', 'Jujamcyn', '.']",producer,her,12,1,Female,-1,11,2,wikipedia,14
406,407,"The postoperative course of the patient was uneventful , and he was discharged on the postoperative day 2 .","['The', 'postoperative', 'course', 'of', 'the', 'patient', 'was', 'uneventful', ',', 'and', 'he', 'was', 'discharged', 'on', 'the', 'postoperative', 'day', '2', '.']",patient,he,5,10,Male,0,5,1,pubmed,9
407,408,"The architect has been described by his biographer Doris Hulse , as "" talented , cultured , eccentric , flamboyant , practical , difficult , opinionated , generous , temperamental , considerate , gentleman farmer , man - about - town "" , and a number of his works are widely known today .","['The', 'architect', 'has', 'been', 'described', 'by', 'his', 'biographer', 'Doris', 'Hulse', ',', 'as', '""', 'talented', ',', 'cultured', ',', 'eccentric', ',', 'flamboyant', ',', 'practical', ',', 'difficult', ',', 'opinionated', ',', 'generous', ',', 'temperamental', ',', 'considerate', ',', 'gentleman', 'farmer', ',', 'man', '-', 'about', '-', 'town', '""', ',', 'and', 'a', 'number', 'of', 'his', 'works', 'are', 'widely', 'known', 'today', '.']",architect,his,1,6,Male,1,5,2,wikipedia,6
408,409,"On 2nd of August 2018 , the author launched his second novel : The Nucle Saga II alongside the chief guest","['On', '2nd', 'of', 'August', '2018', ',', 'the', 'author', 'launched', 'his', 'second', 'novel', ':', 'The', 'Nucle', 'Saga', 'II', 'alongside', 'the', 'chief', 'guest']",author,his,7,9,Male,-1,2,1,wikipedia,21
409,410,Other potential causes of renal failure were not present in our patient and his renal function gradually recovered with the cessation of suramin treatment .,"['Other', 'potential', 'causes', 'of', 'renal', 'failure', 'were', 'not', 'present', 'in', 'our', 'patient', 'and', 'his', 'renal', 'function', 'gradually', 'recovered', 'with', 'the', 'cessation', 'of', 'suramin', 'treatment', '.']",patient,his,11,13,Male,0,2,1,pubmed,20
410,411,The author is strongly connected with his home region of Silesia and personally is a supporter of Ruch ChorzÃ³w football club .,"['The', 'author', 'is', 'strongly', 'connected', 'with', 'his', 'home', 'region', 'of', 'Silesia', 'and', 'personally', 'is', 'a', 'supporter', 'of', 'Ruch', 'ChorzÃ³w', 'football', 'club', '.']",author,his,1,6,Male,-1,5,1,wikipedia,6
411,412,"However , the personal care assistant responsible for giving her medication each morning ( a different health professional , not the one in charge of coordination and treatment plan ) noted that she had to wake her up more often when visiting .","['However', ',', 'the', 'personal', 'care', 'assistant', 'responsible', 'for', 'giving', 'her', 'medication', 'each', 'morning', '(', 'a', 'different', 'health', 'professional', ',', 'not', 'the', 'one', 'in', 'charge', 'of', 'coordination', 'and', 'treatment', 'plan', ')', 'noted', 'that', 'she', 'had', 'to', 'wake', 'her', 'up', 'more', 'often', 'when', 'visiting', '.']",assistant,she,5,32,Female,1,27,3,covid19,4
412,413,The author exposes his thoughts on deinstitutionalization and the place of rehabilitation of the chronic mentally ill .,"['The', 'author', 'exposes', 'his', 'thoughts', 'on', 'deinstitutionalization', 'and', 'the', 'place', 'of', 'rehabilitation', 'of', 'the', 'chronic', 'mentally', 'ill', '.']",author,his,1,3,Male,-1,2,1,pubmed,17
413,414,"We present a patient who is unique because she had a lesion which was the largest ever recorded , and which existed over twice as long as any previously described .","['We', 'present', 'a', 'patient', 'who', 'is', 'unique', 'because', 'she', 'had', 'a', 'lesion', 'which', 'was', 'the', 'largest', 'ever', 'recorded', ',', 'and', 'which', 'existed', 'over', 'twice', 'as', 'long', 'as', 'any', 'previously', 'described', '.']",patient,she,3,8,Female,0,5,1,pubmed,5
414,415,"This was later confirmed in the Tenth Doctor episode `` Planet of the Ood '' , in which the Doctor visits the Ood ' s homeworld -LRB- the Ood-Sphere -RRB- and mentions that he once visited the Sense-Sphere in the same system .","['This', 'was', 'later', 'confirmed', 'in', 'the', 'Tenth', 'Doctor', 'episode', '`', '`', 'Planet', 'of', 'the', 'Ood', ""''"", ',', 'in', 'which', 'the', 'Doctor', 'visits', 'the', 'Ood', ""'"", 's', 'homeworld', '-LRB-', 'the', 'Ood', '-', 'Sphere', '-RRB-', 'and', 'mentions', 'that', 'he', 'once', 'visited', 'the', 'Sense', '-', 'Sphere', 'in', 'the', 'same', 'system', '.']",Doctor,he,20,36,Male,1,14,1,wikipedia,4
415,416,"In his influential work "" The Wealth of Nations "" ( 1776 ) , economist Adam Smith comments that standing armies are a sign of modernizing society , as modern warfare requires the increased skill and discipline of regularly trained standing armies .","['In', 'his', 'influential', 'work', '""', 'The', 'Wealth', 'of', 'Nations', '""', '(', '1776', ')', ',', 'economist', 'Adam', 'Smith', 'comments', 'that', 'standing', 'armies', 'are', 'a', 'sign', 'of', 'modernizing', 'society', ',', 'as', 'modern', 'warfare', 'requires', 'the', 'increased', 'skill', 'and', 'discipline', 'of', 'regularly', 'trained', 'standing', 'armies', '.']",economist,his,14,1,Male,1,13,1,wikipedia,15
416,417,"His friend , John Edwards , and his son , William Garrard , were both in the state senate and kept him abreast of issues there .","['His', 'friend', ',', 'John', 'Edwards', ',', 'and', 'his', 'son', ',', 'William', 'Garrard', ',', 'were', 'both', 'in', 'the', 'state', 'senate', 'and', 'kept', 'him', 'abreast', 'of', 'issues', 'there', '.']",friend,his,1,7,Male,0,6,2,wikipedia,20
417,418,"A fellow officer named Syd Pepper , who had seen action during the Battle of the Somme in 1916 , had convinced Vaughan to join the 1/8th battalion of the regiment and he acquired the sole remaining vacancy .","['A', 'fellow', 'officer', 'named', 'Syd', 'Pepper', ',', 'who', 'had', 'seen', 'action', 'during', 'the', 'Battle', 'of', 'the', 'Somme', 'in', '1916', ',', 'had', 'convinced', 'Vaughan', 'to', 'join', 'the', '1/8th', 'battalion', 'of', 'the', 'regiment', 'and', 'he', 'acquired', 'the', 'sole', 'remaining', 'vacancy', '.']",officer,he,2,32,Male,1,30,1,wikipedia,11
418,419,"Vysotsky ' s father said that `` War veterans thought the author of the songs to be one of them , as if he had participated in the war together with them .","['Vysotsky', ""'"", 's', 'father', 'said', 'that', '`', '`', 'War', 'veterans', 'thought', 'the', 'author', 'of', 'the', 'songs', 'to', 'be', 'one', 'of', 'them', ',', 'as', 'if', 'he', 'had', 'participated', 'in', 'the', 'war', 'together', 'with', 'them', '.']",author,he,12,24,Male,-1,12,1,wikipedia,2
419,420,Conflict of interest The author declares that she has no confict of interest .,"['Conflict', 'of', 'interest', 'The', 'author', 'declares', 'that', 'she', 'has', 'no', 'confict', 'of', 'interest', '.']",author,she,4,7,Female,1,3,1,covid19,4
420,421,"In the development of psychoanalytic technique , the analyst has changed from a "" tactile presence "" to a "" visual presence , "" then finally , with the analyst positioning himself behind the couch , to an "" auditory presence .","['In', 'the', 'development', 'of', 'psychoanalytic', 'technique', ',', 'the', 'analyst', 'has', 'changed', 'from', 'a', '""', 'tactile', 'presence', '""', 'to', 'a', '""', 'visual', 'presence', ',', '""', 'then', 'finally', ',', 'with', 'the', 'analyst', 'positioning', 'himself', 'behind', 'the', 'couch', ',', 'to', 'an', '""', 'auditory', 'presence', '.']",analyst,himself,29,31,Male,1,2,1,pubmed,3
421,422,"A farmer himself , Winter earned a reputation as a strong advocate for farmers and agricultural issues during his time in office .","['A', 'farmer', 'himself', ',', 'Winter', 'earned', 'a', 'reputation', 'as', 'a', 'strong', 'advocate', 'for', 'farmers', 'and', 'agricultural', 'issues', 'during', 'his', 'time', 'in', 'office', '.']",farmer,his,1,18,Male,1,17,2,wikipedia,14
422,423,"After a few minutes deliberation , the chief , American Horse , a fine looking , broad - chested Sioux , with a handsome face and a neck like a bull , showed himself at the mouth of the cave , presenting the butt end of his rifle toward the General .","['After', 'a', 'few', 'minutes', 'deliberation', ',', 'the', 'chief', ',', 'American', 'Horse', ',', 'a', 'fine', 'looking', ',', 'broad', '-', 'chested', 'Sioux', ',', 'with', 'a', 'handsome', 'face', 'and', 'a', 'neck', 'like', 'a', 'bull', ',', 'showed', 'himself', 'at', 'the', 'mouth', 'of', 'the', 'cave', ',', 'presenting', 'the', 'butt', 'end', 'of', 'his', 'rifle', 'toward', 'the', 'General', '.']",chief,himself,7,33,Male,1,26,2,wikipedia,3
423,424,The patient was able to self-monitor her personal health status via blood sugar level and conduct personal healthcare maintenance work .,"['The', 'patient', 'was', 'able', 'to', 'self', '-', 'monitor', 'her', 'personal', 'health', 'status', 'via', 'blood', 'sugar', 'level', 'and', 'conduct', 'personal', 'healthcare', 'maintenance', 'work', '.']",patient,her,1,8,Female,0,5,1,pubmed,17
424,425,Hill 's single division met this large force with the impetuous courage for which that officer and his troops were distinguished .,"['Hill', ""'s"", 'single', 'division', 'met', 'this', 'large', 'force', 'with', 'the', 'impetuous', 'courage', 'for', 'which', 'that', 'officer', 'and', 'his', 'troops', 'were', 'distinguished', '.']",officer,his,15,17,Male,1,2,1,perseus,20
425,426,"Since the family members felt extremely embarrassed , they were upset and angry with the patient which , in turn , increased her depressive symptoms .","['Since', 'the', 'family', 'members', 'felt', 'extremely', 'embarrassed', ',', 'they', 'were', 'upset', 'and', 'angry', 'with', 'the', 'patient', 'which', ',', 'in', 'turn', ',', 'increased', 'her', 'depressive', 'symptoms', '.']",patient,her,15,22,Female,0,7,1,pubmed,17
426,427,The patient underwent successful treatment of his complicated hepatic hydatid cysts with pericystectomy and repair of a biliary fistula .,"['The', 'patient', 'underwent', 'successful', 'treatment', 'of', 'his', 'complicated', 'hepatic', 'hydatid', 'cysts', 'with', 'pericystectomy', 'and', 'repair', 'of', 'a', 'biliary', 'fistula', '.']",patient,his,1,6,Male,0,5,1,pubmed,17
427,428,"At least one student who was pepper - sprayed was also put on her stomach by police , hog - tied and placed in handcuffs , which was a clear violation of CSU 's own policies .","['At', 'least', 'one', 'student', 'who', 'was', 'pepper', '-', 'sprayed', 'was', 'also', 'put', 'on', 'her', 'stomach', 'by', 'police', ',', 'hog', '-', 'tied', 'and', 'placed', 'in', 'handcuffs', ',', 'which', 'was', 'a', 'clear', 'violation', 'of', 'CSU', ""'s"", 'own', 'policies', '.']",student,her,3,13,Female,1,10,1,wikipedia,1
428,429,"Wehr , an undergraduate at the time , happily accepted the opportunity to serve as a stand - in music composition tutor for Tobey and over time became friends with him and his circle of artists , becoming a painter himself , as well as a chronicler of the group .","['Wehr', ',', 'an', 'undergraduate', 'at', 'the', 'time', ',', 'happily', 'accepted', 'the', 'opportunity', 'to', 'serve', 'as', 'a', 'stand', '-', 'in', 'music', 'composition', 'tutor', 'for', 'Tobey', 'and', 'over', 'time', 'became', 'friends', 'with', 'him', 'and', 'his', 'circle', 'of', 'artists', ',', 'becoming', 'a', 'painter', 'himself', ',', 'as', 'well', 'as', 'a', 'chronicler', 'of', 'the', 'group', '.']",painter,himself,39,40,Male,1,1,2,wikipedia,10
429,430,Because of personal preference the patient suckled her child from the right breast only .,"['Because', 'of', 'personal', 'preference', 'the', 'patient', 'suckled', 'her', 'child', 'from', 'the', 'right', 'breast', 'only', '.']",patient,her,5,7,Female,0,2,1,pubmed,17
430,431,"On 16 May , former Hemel Hempstead Town manager Danny Nicholls was appointed as his successor .","['On', '16', 'May', ',', 'former', 'Hemel', 'Hempstead', 'Town', 'manager', 'Danny', 'Nicholls', 'was', 'appointed', 'as', 'his', 'successor', '.']",manager,his,8,14,Male,1,6,1,wikipedia,1
431,432,"Nirad C. Chaudhuri ( 1897â€“1999 ) , a writer of non - fiction , is best known for his "" The Autobiography of an Unknown Indian "" ( 1951 ) , in which he relates his life experiences and influences .","['Nirad', 'C.', 'Chaudhuri', '(', '1897â€“1999', ')', ',', 'a', 'writer', 'of', 'non', '-', 'fiction', ',', 'is', 'best', 'known', 'for', 'his', '""', 'The', 'Autobiography', 'of', 'an', 'Unknown', 'Indian', '""', '(', '1951', ')', ',', 'in', 'which', 'he', 'relates', 'his', 'life', 'experiences', 'and', 'influences', '.']",writer,his,8,18,Male,-1,10,3,wikipedia,1
432,433,"Based on their statements given to the local police , the Central Bureau of Investigation was asked to seek an Interpol Red - corner notice for the arrest of Saudi Arabia based engineer Fasih Mahmood , who had been sought by India for his alleged role in the bomb attacks at the cricket stadium .","['Based', 'on', 'their', 'statements', 'given', 'to', 'the', 'local', 'police', ',', 'the', 'Central', 'Bureau', 'of', 'Investigation', 'was', 'asked', 'to', 'seek', 'an', 'Interpol', 'Red', '-', 'corner', 'notice', 'for', 'the', 'arrest', 'of', 'Saudi', 'Arabia', 'based', 'engineer', 'Fasih', 'Mahmood', ',', 'who', 'had', 'been', 'sought', 'by', 'India', 'for', 'his', 'alleged', 'role', 'in', 'the', 'bomb', 'attacks', 'at', 'the', 'cricket', 'stadium', '.']",engineer,his,32,43,Male,1,11,1,wikipedia,1
433,434,"The morning was an ideal spring morning , and the writer had often thought the most inspiring sight ever brought before him he saw there that moring .","['The', 'morning', 'was', 'an', 'ideal', 'spring', 'morning', ',', 'and', 'the', 'writer', 'had', 'often', 'thought', 'the', 'most', 'inspiring', 'sight', 'ever', 'brought', 'before', 'him', 'he', 'saw', 'there', 'that', 'moring', '.']",writer,he,10,22,Male,-1,12,1,perseus,4
434,435,"Meanwhile , Lem was forced to abandon Vic 's original plans for hiding him after he risked his freedom to help out a young child who had been left alone by his parents and had seriously hurt himself in his home 's kitchen .","['Meanwhile', ',', 'Lem', 'was', 'forced', 'to', 'abandon', 'Vic', ""'s"", 'original', 'plans', 'for', 'hiding', 'him', 'after', 'he', 'risked', 'his', 'freedom', 'to', 'help', 'out', 'a', 'young', 'child', 'who', 'had', 'been', 'left', 'alone', 'by', 'his', 'parents', 'and', 'had', 'seriously', 'hurt', 'himself', 'in', 'his', 'home', ""'s"", 'kitchen', '.']",child,himself,24,37,Male,1,13,5,wikipedia,3
435,436,"User is chronic editor of Morgellons page , and has admitted on talk page and other public forums that she is a volunteer for the advocacy group , the Morgellons Research Foundation , itself a major subject of the article being edited .","['User', 'is', 'chronic', 'editor', 'of', 'Morgellons', 'page', ',', 'and', 'has', 'admitted', 'on', 'talk', 'page', 'and', 'other', 'public', 'forums', 'that', 'she', 'is', 'a', 'volunteer', 'for', 'the', 'advocacy', 'group', ',', 'the', 'Morgellons', 'Research', 'Foundation', ',', 'itself', 'a', 'major', 'subject', 'of', 'the', 'article', 'being', 'edited', '.']",User,she,0,19,Female,0,19,1,wikipedia,4
436,437,One patient had infiltrating ureteral carcinoma and he is well 8 years after cystectomy .,"['One', 'patient', 'had', 'infiltrating', 'ureteral', 'carcinoma', 'and', 'he', 'is', 'well', '8', 'years', 'after', 'cystectomy', '.']",patient,he,1,7,Male,0,6,1,pubmed,11
437,438,Recently a professor at Osaka University in Japan unveiled what he calls a working cold fusion reactor .,"['Recently', 'a', 'professor', 'at', 'Osaka', 'University', 'in', 'Japan', 'unveiled', 'what', 'he', 'calls', 'a', 'working', 'cold', 'fusion', 'reactor', '.']",professor,he,2,10,Male,1,8,1,wikipedia,4
438,439,The astronomer Raphael Levi Hannover was a bookkeeper in his firm .,"['The', 'astronomer', 'Raphael', 'Levi', 'Hannover', 'was', 'a', 'bookkeeper', 'in', 'his', 'firm', '.']",astronomer,his,1,9,Male,1,8,1,wikipedia,15
439,440,A female university student in need of financial resources to pay for her education can not make an autonomous choice to trade her genes for tuition .,"['A', 'female', 'university', 'student', 'in', 'need', 'of', 'financial', 'resources', 'to', 'pay', 'for', 'her', 'education', 'can', 'not', 'make', 'an', 'autonomous', 'choice', 'to', 'trade', 'her', 'genes', 'for', 'tuition', '.']",student,her,3,22,Female,1,19,2,pubmed,17
440,441,"Skarloey Gets a Scare Skarloey 's driver leaves his tea mug , his sandwiches and his torch behind at the sheds .","['Skarloey', 'Gets', 'a', 'Scare', 'Skarloey', ""'s"", 'driver', 'leaves', 'his', 'tea', 'mug', ',', 'his', 'sandwiches', 'and', 'his', 'torch', 'behind', 'at', 'the', 'sheds', '.']",driver,his,6,8,Male,1,2,3,wikipedia,21
441,442,Coach Stiehm returned for his third year after earning conference championships in both of his previous seasons .,"['Coach', 'Stiehm', 'returned', 'for', 'his', 'third', 'year', 'after', 'earning', 'conference', 'championships', 'in', 'both', 'of', 'his', 'previous', 'seasons', '.']",Coach,his,0,4,Male,1,4,2,wikipedia,15
442,443,"This user has shown that he will use admin tools helpfully in q1 , and he is definitely civil .","['This', 'user', 'has', 'shown', 'that', 'he', 'will', 'use', 'admin', 'tools', 'helpfully', 'in', 'q1', ',', 'and', 'he', 'is', 'definitely', 'civil', '.']",user,he,1,5,Male,0,4,2,wikipedia,4
443,444,"A student and friend of Marceli Handelsman , Manteuffel dedicated his life to history - as a student , teacher , scholar and activist .","['A', 'student', 'and', 'friend', 'of', 'Marceli', 'Handelsman', ',', 'Manteuffel', 'dedicated', 'his', 'life', 'to', 'history', '-', 'as', 'a', 'student', ',', 'teacher', ',', 'scholar', 'and', 'activist', '.']",student,his,1,10,Male,-1,9,1,wikipedia,21
444,445,47 was then made a full agent of ICA and Diana was assigned as his handler .,"['47', 'was', 'then', 'made', 'a', 'full', 'agent', 'of', 'ICA', 'and', 'Diana', 'was', 'assigned', 'as', 'his', 'handler', '.']",agent,his,6,14,Male,-1,8,1,wikipedia,6
445,446,The patient remained neurologically stable with his baseline right ophthalmoplegia and V1-V2 hemianesthesia .,"['The', 'patient', 'remained', 'neurologically', 'stable', 'with', 'his', 'baseline', 'right', 'ophthalmoplegia', 'and', 'V1', '-', 'V2', 'hemianesthesia', '.']",patient,his,1,6,Male,0,5,1,pubmed,14
446,447,An informed consent has been obtained from the patient and his guardians .,"['An', 'informed', 'consent', 'has', 'been', 'obtained', 'from', 'the', 'patient', 'and', 'his', 'guardians', '.']",patient,his,8,10,Male,0,2,1,pubmed,20
447,448,"( meaning "" Killer of the Past "" ) , was a Greek musician and rapper , notable for his participation and performance in musical projects , as well as for his anti - fascist activism .","['(', 'meaning', '""', 'Killer', 'of', 'the', 'Past', '""', ')', ',', 'was', 'a', 'Greek', 'musician', 'and', 'rapper', ',', 'notable', 'for', 'his', 'participation', 'and', 'performance', 'in', 'musical', 'projects', ',', 'as', 'well', 'as', 'for', 'his', 'anti', '-', 'fascist', 'activism', '.']",musician,his,13,31,Male,1,18,2,wikipedia,20
448,449,"Moreover , the user can set his preferences and the appliances are auto turned off and on to meet user-specific requirements .","['Moreover', ',', 'the', 'user', 'can', 'set', 'his', 'preferences', 'and', 'the', 'appliances', 'are', 'auto', 'turned', 'off', 'and', 'on', 'to', 'meet', 'user', '-', 'specific', 'requirements', '.']",user,his,3,6,Male,0,3,1,pubmed,17
449,450,"The casting has also marked a history for Ãnima Estudios , to which producer and company COO JosÃ© C. GarcÃ­a de Letona has shared his excitement .","['The', 'casting', 'has', 'also', 'marked', 'a', 'history', 'for', 'Ã\x81nima', 'Estudios', ',', 'to', 'which', 'producer', 'and', 'company', 'COO', 'JosÃ', '©', 'C.', 'GarcÃ\xada', 'de', 'Letona', 'has', 'shared', 'his', 'excitement', '.']",producer,his,13,25,Male,1,11,1,wikipedia,21
450,451,"In the early 21st century , Piedmont wine producer Michele Chiarlo added a hectare of the grape to his vineyard and began producing a varietal Albarossa under the Monferrato DOC in 2006 .","['In', 'the', 'early', '21st', 'century', ',', 'Piedmont', 'wine', 'producer', 'Michele', 'Chiarlo', 'added', 'a', 'hectare', 'of', 'the', 'grape', 'to', 'his', 'vineyard', 'and', 'began', 'producing', 'a', 'varietal', 'Albarossa', 'under', 'the', 'Monferrato', 'DOC', 'in', '2006', '.']",producer,his,8,18,Male,1,10,1,wikipedia,15
451,452,"Following his retirement in January 2014 , the editor became Bob Gilmore .","['Following', 'his', 'retirement', 'in', 'January', '2014', ',', 'the', 'editor', 'became', 'Bob', 'Gilmore', '.']",editor,his,8,1,Male,1,7,1,wikipedia,14
452,453,"At age 3 years and 9 months , the child developed sepsis and acute deterioration of her encephalopathy leading to death .","['At', 'age', '3', 'years', 'and', '9', 'months', ',', 'the', 'child', 'developed', 'sepsis', 'and', 'acute', 'deterioration', 'of', 'her', 'encephalopathy', 'leading', 'to', 'death', '.']",child,her,9,16,Female,-1,7,1,pubmed,17
453,454,"In his poem "" Li Sao "" , author Qu Yuan describes an aerial crossing of the Moving ( or Flowing ) Sands on a shamanic spiritual Journey to Kunlun . ""","['In', 'his', 'poem', '""', 'Li', 'Sao', '""', ',', 'author', 'Qu', 'Yuan', 'describes', 'an', 'aerial', 'crossing', 'of', 'the', 'Moving', '(', 'or', 'Flowing', ')', 'Sands', 'on', 'a', 'shamanic', 'spiritual', 'Journey', 'to', 'Kunlun', '.', '""']",author,his,8,1,Male,-1,7,1,wikipedia,15
454,455,"As a consequence , the patient had a significant improvement of his symptom , as well as a gradually resolution of consolidation .","['As', 'a', 'consequence', ',', 'the', 'patient', 'had', 'a', 'significant', 'improvement', 'of', 'his', 'symptom', ',', 'as', 'well', 'as', 'a', 'gradually', 'resolution', 'of', 'consolidation', '.']",patient,his,5,11,Male,0,6,1,covid19,17
455,456,One patient who previously had a biliary bypass underwent further resection of her cyst and Whipple 's operation because of development of cholangiocarcinoma in the distal remnant cyst .,"['One', 'patient', 'who', 'previously', 'had', 'a', 'biliary', 'bypass', 'underwent', 'further', 'resection', 'of', 'her', 'cyst', 'and', 'Whipple', ""'s"", 'operation', 'because', 'of', 'development', 'of', 'cholangiocarcinoma', 'in', 'the', 'distal', 'remnant', 'cyst', '.']",patient,her,1,12,Female,0,11,1,pubmed,17
456,457,"Using free Open Broadcast Software , the professor created a recording with multiple screens potentially showing his face , video of his lab as he completed steps , his slide presentation , and iPad whiteboard notes at the same time .","['Using', 'free', 'Open', 'Broadcast', 'Software', ',', 'the', 'professor', 'created', 'a', 'recording', 'with', 'multiple', 'screens', 'potentially', 'showing', 'his', 'face', ',', 'video', 'of', 'his', 'lab', 'as', 'he', 'completed', 'steps', ',', 'his', 'slide', 'presentation', ',', 'and', 'iPad', 'whiteboard', 'notes', 'at', 'the', 'same', 'time', '.']",professor,his,7,16,Male,1,9,4,covid19,17
457,458,"After his death in 1820 , the town received its first post office ; since "" Bloomfield "" was preempted by another community , the postmaster named his station after Sharp , and the town was established and incorporated under this new name .","['After', 'his', 'death', 'in', '1820', ',', 'the', 'town', 'received', 'its', 'first', 'post', 'office', ';', 'since', '""', 'Bloomfield', '""', 'was', 'preempted', 'by', 'another', 'community', ',', 'the', 'postmaster', 'named', 'his', 'station', 'after', 'Sharp', ',', 'and', 'the', 'town', 'was', 'established', 'and', 'incorporated', 'under', 'this', 'new', 'name', '.']",postmaster,his,25,27,Male,0,2,2,wikipedia,21
458,459,"Shortly after the album 's release , controversy unsurprisingly erupted in a variety of forms , most notably a petrol station attendant being fired from his job after it was discovered that he owned a copy of the album ( Cook testified at the man 's industrial tribunal ) , and a distributor of talking books accidentally sending out copies of "" Come Again "" on cassette in cases intended for the children 's classic "" Black Beauty "" .","['Shortly', 'after', 'the', 'album', ""'s"", 'release', ',', 'controversy', 'unsurprisingly', 'erupted', 'in', 'a', 'variety', 'of', 'forms', ',', 'most', 'notably', 'a', 'petrol', 'station', 'attendant', 'being', 'fired', 'from', 'his', 'job', 'after', 'it', 'was', 'discovered', 'that', 'he', 'owned', 'a', 'copy', 'of', 'the', 'album', '(', 'Cook', 'testified', 'at', 'the', 'man', ""'s"", 'industrial', 'tribunal', ')', ',', 'and', 'a', 'distributor', 'of', 'talking', 'books', 'accidentally', 'sending', 'out', 'copies', 'of', '""', 'Come', 'Again', '""', 'on', 'cassette', 'in', 'cases', 'intended', 'for', 'the', 'children', ""'s"", 'classic', '""', 'Black', 'Beauty', '""', '.']",attendant,his,21,25,Male,0,4,2,wikipedia,1
459,460,"The president may also effectively withhold his assent as per his own discretion , which is known as pocket veto .","['The', 'president', 'may', 'also', 'effectively', 'withhold', 'his', 'assent', 'as', 'per', 'his', 'own', 'discretion', ',', 'which', 'is', 'known', 'as', 'pocket', 'veto', '.']",president,his,1,6,Male,1,5,2,wikipedia,21
460,461,"Author David Foster Wallace was also mixed in his review as he heavily criticized the work as overly pretentious but commented that the novel was "" not without some cool sections "" .","['Author', 'David', 'Foster', 'Wallace', 'was', 'also', 'mixed', 'in', 'his', 'review', 'as', 'he', 'heavily', 'criticized', 'the', 'work', 'as', 'overly', 'pretentious', 'but', 'commented', 'that', 'the', 'novel', 'was', '""', 'not', 'without', 'some', 'cool', 'sections', '""', '.']",Author,his,0,8,Male,-1,8,2,wikipedia,1
461,462,""" Dimestore : A Writer â€™s Life "" published in 2016 is the story of her life in Grundy and beyond .","['""', 'Dimestore', ':', 'A', 'Writer', 'â€', '™', 's', 'Life', '""', 'published', 'in', '2016', 'is', 'the', 'story', 'of', 'her', 'life', 'in', 'Grundy', 'and', 'beyond', '.']",Writer,her,4,17,Female,1,11,1,wikipedia,15
462,463,"Stormont , the English ambassador to Paris , hurried to Vergennes to demand that the captain , with his crews , cargoes , and ships , should be given up .","['Stormont', ',', 'the', 'English', 'ambassador', 'to', 'Paris', ',', 'hurried', 'to', 'Vergennes', 'to', 'demand', 'that', 'the', 'captain', ',', 'with', 'his', 'crews', ',', 'cargoes', ',', 'and', 'ships', ',', 'should', 'be', 'given', 'up', '.']",captain,his,15,18,Male,1,3,1,perseus,6
463,464,"coming up in the midst of the altercation between the agent and his men , declared that the fires should not be extinguished , that the train should leave in spite of the agent , and after cursing and using much bitter language towards the latter had him arrested and kept in custody by a guard .","['coming', 'up', 'in', 'the', 'midst', 'of', 'the', 'altercation', 'between', 'the', 'agent', 'and', 'his', 'men', ',', 'declared', 'that', 'the', 'fires', 'should', 'not', 'be', 'extinguished', ',', 'that', 'the', 'train', 'should', 'leave', 'in', 'spite', 'of', 'the', 'agent', ',', 'and', 'after', 'cursing', 'and', 'using', 'much', 'bitter', 'language', 'towards', 'the', 'latter', 'had', 'him', 'arrested', 'and', 'kept', 'in', 'custody', 'by', 'a', 'guard', '.']",agent,his,10,12,Male,-1,2,1,perseus,20
464,465,"At a political retreat in 2003 , Tumukunde , in the presence of the president and his cabinet , argued against the impending removal of term limits that would give President Museveni the right to stand for re - election on an infinite basis .","['At', 'a', 'political', 'retreat', 'in', '2003', ',', 'Tumukunde', ',', 'in', 'the', 'presence', 'of', 'the', 'president', 'and', 'his', 'cabinet', ',', 'argued', 'against', 'the', 'impending', 'removal', 'of', 'term', 'limits', 'that', 'would', 'give', 'President', 'Museveni', 'the', 'right', 'to', 'stand', 'for', 're', '-', 'election', 'on', 'an', 'infinite', 'basis', '.']",president,his,14,16,Male,1,2,1,wikipedia,20
465,466,"Sometimes it happens that after praying or completing a benevolent exercise , the person finds himself in a kind spiritual disposition and therefore , is amenable to his brother and does n't get annoyed over his words .","['Sometimes', 'it', 'happens', 'that', 'after', 'praying', 'or', 'completing', 'a', 'benevolent', 'exercise', ',', 'the', 'person', 'finds', 'himself', 'in', 'a', 'kind', 'spiritual', 'disposition', 'and', 'therefore', ',', 'is', 'amenable', 'to', 'his', 'brother', 'and', 'does', ""n't"", 'get', 'annoyed', 'over', 'his', 'words', '.']",person,himself,13,15,Male,-1,2,3,wikipedia,3
466,467,"However , his lawyer , Mohamed Shaheem Ali Saeed , a Maldivian Islamic scholar infamous for his illicit relations with women facilitated his release .","['However', ',', 'his', 'lawyer', ',', 'Mohamed', 'Shaheem', 'Ali', 'Saeed', ',', 'a', 'Maldivian', 'Islamic', 'scholar', 'infamous', 'for', 'his', 'illicit', 'relations', 'with', 'women', 'facilitated', 'his', 'release', '.']",lawyer,his,3,22,Male,1,19,3,wikipedia,21
