,prompt,source
47,It was raining hard in Allison's area. She was on her way to work. The road in front of her was flooded.,roc
48,I am supposed to take food to a party tomorrow. I had bought all the ingredients for it last week. I spent all day yesterday cooking the food.,roc
49,The bank robber sweated nervously as he walked towards the bank. He felt as if everybody was watching him. It seemed like a good idea up until now.,roc
50,"Eric took a vacation to the beach. On the way there, he remembered that he didn't pack any sunscreen. He decided not to go back home to get some.",roc
51,"Don Cazar had caught up one of the rifles from under a window and had crossed the doorway to look back at the roof of the Casa Grande, calling out an inquiry in another language.",mnli
52,I went to Tulsa with a friend I met online. He let me live with him at a friend's apartment. We celebrated the year 2000 by getting drunk.,roc
53,"The rats helped Derry out, and in return she sheltered them from the reptilian predators outside.",mnli
54,But ... Long Canyon ... There was a shade of puzzlement in his voice.,mnli
55,I somehow feel that in real life one will feel a bit of an ass standing in the street for hours with nothing to do.,mnli
56,I sure had me a real snootful an' I guess I was jus' fightin' th' war all over again.,mnli
57,Billy was very nervous about giving his report in front of the class. The teacher calls the students one right after another. It is Billy's turn.,roc
58,"You will notice that the word 'possessed' is spelt first with one 's' and subsequently with two, correctly.",mnli
59,"The Sons of the Egg seemed to have suffered less, since they greatly out-numbered the others, but they were obviously more shocked by the rising of the sun and the healing of the sky.",mnli
60,David took his children to the state park to look at the wildlife. They drove around until they saw a group of brown bears mingling.,roc
61,Mark had waited weeks to play golf. He got an afternoon free from work. He quickly headed to the golf course.,roc
62,"With an almighty crash, down it came, and Julius P.",mnli
63,Niana made a pasta dinner for all her friends. She wanted to be sure she had enough food. So she boiled an entire box of spaghetti noodles.,roc
64,Tina and her friend Susie wanted to be closer. They decided to make friendship bracelets. Tina thought it was great. When it was done they looked great.,roc
65,These? Poirot produced the empty box which had contained powders.,mnli
66,"What's more, if this is the target-point, then we are on the estate of a powerful native.",mnli
67,My family went out for dinner one night. My little brother was sick but wanted to go anyway. When we got to the restaurant I heard my little brother sneeze.,roc
68,The candy store was having a sale. Raven wanted to wait in line. Her parents warned her not too. They thought she would never get in.,roc
69,Jorge realized his closet was overflowing. He decided to clean it out and throw away anything he wasn't using. He kept digging and finding more stuff he forgot about.,roc
70,Occasionally she referred to her husband over a question of days or dates.,mnli
71,"They ran him down the drive, and neatly out of the gate.",mnli
72,"He texted her then hung up the phone. Mattie looked at her phone buzzing, as the notification came through. That was the signal, so she grabbed her purse and left.",roc
73,Sam was doing laundry. He forgot about it in the wash. When he remembered it had been in there for hours. It smelled gross and damp.,roc
74,The second footman stabbed at Jon with a blood stained spear decorated with a half dozen long-haired scalps.,mnli
75,My friend came over to visit me on Saturday. While he was here he accidentally dropped one of my plants.,roc
76,"Sure enough, about nine o'clock, so he did.",mnli
77,Bob and Lucy were tired of making the same dinners every night. They decided to take a cooking class together.,roc
78,One day Joe bought a lottery ticket. He didn't expect to win but he did! First he bought a new house. Then he bought a new car.,roc
79,Amy realized that the summer was ending and school would start soon. She made a list of the things she needed to buy.,roc
80,"The Merchant said, peevishly, ""Why do you keep silence?""",mnli
81,John was walking down the road. There was a sign that had a picture of a pig with wings. John though it was funny.,roc
82,My son woke up feeling ill. He had no appetite and didn't feel happy. He laid in bed all day long. He vomited and had diarrhea.,roc
83,His hand moved around while he swung his hips and grimaced.,mnli
84,Even now she could almost swear it moved as though some one was behind it.,mnli
85,Frank's favorite food is french fries. He loves them so much that he always has to order them. One day he heard of a restaurant that had homemade fries.,roc
86,"Lisa forgot to read her textbook for History class one day. That very day, the history teacher asked who had read their reading.",roc
87,"Men were coming down the long lines, handing something to the slaves.",mnli
88,"The child wore a cloak of tan canvas, the hood pulled up to protect her face from the sun.",mnli
89,I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. There was no way I was making it to work.,roc
90,One day Sharon and her friends went ice skating. Sharon got asked to skate by a boy. She said yes. They had a lot of fun.,roc
91,"But whether he felt it or not, there IS such a sensation.",mnli
92,Quinten wrote a short screenplay for his acting class. He presented the screenplay in front of the class. The class voted his play the best in the class.,roc
93,"To make the play possibilities even more interesting and unpredictable, under the left wrist, there was a built-in operational panel with a choice of setting levels of aggression, bravery, childishness, obedience, intelligence and the need to spend time with a child diagnosed with ADHD.",mnli
94,Brayden wanted a bike for his birthday. His dad surprised him one day with a new Mountain bike. It was a lot bigger than his old bike.,roc
95,Jerry needed 40 dollars to buy tickets to a concert. He put fliers in his neighbor's mailboxes offering to mow their lawns.,roc
96,My friends came over to my house and wanted to have a bonfire. I told them it was way too hot out but they insisted!,roc
97,Kevin bought a new remote control car. He called over his friend to show them the car. Kevin and his friends went to the park to play with the car.,roc
98,"We walked up to the great door of Styles, and at once the knowledge came to us that something was wrong.",mnli
99,"Yes, sir, it will be about an hour and a half's run.",mnli
100,The army representative called the man. The man described himself as homosexual. The representative hung up. The man called the representative back.,roc
101,Emily was almost ready to leave the house. She suddenly realized that she couldn't find her keys. Emily looked everywhere and almost gave up hope.,roc
102,"While the Man Called Office Desk (MCOD, or simply Cod in an alternative version) was writing an intuitive program for the management of empty office desk space in software companies, a thing that nobody had ever expected to happen happened.",mnli
103,"The woman held up her fist to the man, showing him the triangle spike palm knife she held before he died.",mnli
104,From Waterloo Boris took the tube as far as Piccadilly Circus.,mnli
105,Lucy loved skating. She tried to skate as often as she could. Her coach told her about a competition. Lucy then decided she was going to.,roc
106,"Well, to begin with, I wasn't after the spoons.'",mnli
107,Adam was homeless and living in an alley. He ran across a stray dog. Adam gave the dog some of his food.,roc
108,He put on his floppy hat over his shaved head and headed out onto the road.,mnli
109,Flora loved music and wanted the perfect band for her wedding. Several people auditioned but she didn't like them at all.,roc
110,"Taylor watched the sky darken. She went in and turned on The Weather Channel. Just as she turned it on, they were announcing a tornado warning.",roc
111,Jay wanted to be an air force pilot just like his dad. He attended the same air force school that his father graduated.,roc
112,Phil was driving down the highway. He was hearing a weird noise from his engine. It was a ticking noise. Phil's car started to smoke.,roc
113,Tricia was a vegan. Therefore it was difficult for her to eat a lot of candy. Most had gelatin in them. Then Tricia found some vegan candy.,roc
114,"The family was taking a trip to Moab, Utah. They were so excited to see the beautiful landscape! They hiked a lot.",roc
115,Sean and Eric were running for student council president. Sean really wanted to win and told everyone lies about Eric. Some of Eric's friends found out about Sean's lies.,roc
116,"JT had his driving test last week. He was nervous for this one, as this was his second attempt. His first attempt ended badly.",roc
117,"I thought that lawyer chap had quit! 161 Chapter 19 Jane Finn ""MY train got in half an hour ago,"" explained Julius, as he led the way out of the station.",mnli
118,"Jamie took a plane to Australia. It was a long flight and he was bored. He tried to talk to his neighbor, but they fell asleep.",roc
119,Mike was in love with Laura. She did not know about it. Mike was shy to ask her out. One day he found courage and invited her for a dinner.,roc
120,We were famished on our lunch break. We saw a food truck in the parking lot. We walked up to the window. The menu was filled with barbecue foods.,roc
121,Tommy felt cold waves of despair pass over him.,mnli
122,"No matter how perfect his creations seem, it's probably not a good idea to trust them.'",mnli
123,"Jeremy really wanted his friend Ben to come over after school. When he got off the bus, he asked his mom to call Ben's mom.",roc
124,"You failed to mention,' Lincoln twitched, 'the four or five dozen of his followers hidden at the front and back of this train.'",mnli
125,"Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. That way, she could bring her grade average back up.",roc
126,We either go get them or we only get paid for the skinny one Telek got.,mnli
127,"From it, he drew a strange, double-bladed knife.",mnli
128,"Still, it is a possibility to be taken into account.",mnli
129,Nearly a full generation has passed and none of us who lives in those times speaks of the days when the slaves bled for our town.,mnli
130,The woman punched hard into the light-skinned Sai Routha's chest.,mnli
131,Mary was trying to find the perfect gift for her husband. He was an avid sportsman. She decided to buy him a hunting dog. Mary picked out a puppy.,roc
132,In another moment they were standing in a dusty garret littered with lumber.,mnli
133,Abby loves popcorn. She went to the kitchen to make some. All of the popcorn was gone. She was very sad and didn't know what to eat now.,roc
134,"Cathy is an avid collector of Cabbage Patch Dolls. Recently, Cathy saw a rare doll for sale on Ebay.",roc
135,"Topham's arm went about the shoulders under the black-and-silver jacket, drawing Don Cazar into the light, music, and excitement of the cantina.",mnli
136,"Val has always had rather long hair. A few years ago, she chopped it off. She's been trying to grow it out again. Val is impatient.",roc
137,"If, in spite of my warnings, you make up your mind to go through with it, you will find everything arranged.",mnli
138,Janet went for a walk in the woods. Along the way she spotted a unique wildflower growing on a cliff. She decided to pick some for her mother.,roc
139,"Janet really wanted to become a dancer, but she's painfully shy and wa. Her dad decided to get her a month of private lessons.",roc
140,They asked if I would give another speech- my last had been so inspirational.,mnli
141,"Although the blinds were up, the window itself was shut, so I couldn't catch a word of what they said.",mnli
142,Two brill dragged an ornate wagon on huge iron-rimmed wheels.,mnli
143,Rick loved to work on cars. His brother bought an old junker one day and asked Rick to fix it up. He rebuilt the transmission and got it running great.,roc
144,He did look like he might have put on a little bit of weight- bulking up around the arms and shoulders.,mnli
145,"My uncle would like to talk to you, said Ca'daan.",mnli
146,My daughter played soccer in a neighborhood league at ten. She was on defense. One day a boy tried to score a goal. She slid and kicked the ball away.,roc
147,Tim was at the bank depositing some cash. All of a sudden a bank heist erupted around him. Tim was scared but also intrigued. He followed orders and wasn't hurt.,roc
148,"The crisp air blowing into the stable, carrying something beside the scents of the town, gave him a suggestion.",mnli
149,"They arranged a plan to throw suspicion on John Cavendish, by buying strychnine at the village chemist's, and signing the register in his hand-writing.",mnli
150,Lilith had to correct a lot of student tests that night. She prepared her desk with pen and coffee.,roc
151,"Come in, said Cynthia, in a sharp professional tone.",mnli
152,"Nina needed to be at a company meeting within the hour. She tried calling a friend to drive her with no luck. Finally, she decided to take the subway instead.",roc
153,"Gods help me, thought Jon, Thorn looks like one of them.",mnli
154,"Many years past, Fena Dim sold brill to Fena Kef.",mnli
155,Jessica wanted something cold and sweet to eat. She looked in her freezer but didn't see ice cream. Jessica saw some fruit on the counter.,roc
156,"Slim noticed all at once that the sun scarcely topped the low hills in the east, that the shadows were long and soft, and that the grass was wet.",mnli
157,You're sure a trustin' fella. Shannon's fingers hooked to the front of the gun belt riding low on the hip.,mnli
158,"Tomorrow the daily papers, all over England, would blazon out the news in staring headlines: ""MYSTERIOUS TRAGEDY IN ESSEX""",mnli
159,Far back he saw a flash of black steel surrounded by the screams and howls of the demontouched Sticks.,mnli
160,The Kal whirled and Adrin went skidding across the ground.,mnli
161,Big Mama the frog lived with me for a few months. We put her in a large aquarium in the living room.,roc
162,"I had often before noticed that, if anything excited him, his eyes turned green like a cat's.",mnli
163,"Then old Sather Karf was dashing out from under the cover of the building, brandishing a pole on which a drop of the sun-stuff was glowing.",mnli
164,Gary owned a bakery. He was known for his amazing donuts. He made dozens of them every morning. They always sold out by ten in the morning.,roc
165,Tom had a fear of height.s. He tried to conquer it often. Tom went with friends to a waterfall. It was high and they all jumped off of it.,roc
166,I have been concerned about my daughter's tablet use lately. She seems to always want to be on it. I have to start to limit her time.,roc
167,He wore golden armor dented and splashed with blood.,mnli
168,"With his hands and feet bound, there was no way to land softly.",mnli
169,I will make a father confessor of you.,mnli
170,Miranda loved bracelet making. She loved it so much she decided to start her own business. When Miranda was done her first year she made one thousand.,roc
171,"When Jon came back from work, there was a man in his apartment. He didn't know him and asked him who he was.",roc
172,Another knew all about dredging canals and the last one was an electronics engineer--a field in which Dave was far more competent.,mnli
173,Three hours was more than enough for Mr. Brown.,mnli
174,One day Susie realized she needed to wash her dog. Her dog didn't want to be washed. She had to struggle to get him to stand still.,roc
175,His first instinct was to flee but he found himself running to the man instead.,mnli
176,"Nye came in, trailed by three of the other Rennie riders.",mnli
177,"Jack was excited to receive his new phone. He had ordered it the day it came out. When it got to his house, he rushed home.",roc
178,Jimmy decided to cook tacos for his family. He bought all the ingredients. He started to cook the meat when he realized he forgot the seasoning.,roc
179,Mr. Greuze took a little piece of paper from his pocket and consulted it.,mnli
180,"My boss called me to the office. He asked if I can work during the night shift. Since I really needed the money, I said yes.",roc
181,"Tom loved watching movies. Tom spent all of his free time at the movie theater. After high school, Tom decided to try to work in the film industry.",roc
182,So either you're a hero or a monster.,mnli
183,"When she was little, she had a blue LED installed in her right eye for no particular reason.",mnli
184,Sammy was excited about the football game on television. Everyone in the office we're looking forward to the game. Sammy told his wife he was going to work late.,roc
185,I heard from my neighbor that there was a bear in the neighborhood. I haven't been jogging for days because I'm afraid of the bear.,roc
186,Mason had a hard time putting his 2 children to bed. Every night was World War 3 trying to get them into bed.,roc
187,He'd heard it might be possible to do that.,mnli
188,There was a bird at my window. It had a broken wing. I took it in and fixed its wing. I nursed it back to health for several weeks.,roc
189,It wouldn't do for an Explorer to be too easily impressed.,mnli
190,"Geoff ate out every day of his adult life, he was a 27 year old man. He loved going to drive troughs and preferred eating in his car.",roc
191,Denny is playing poker. He is eating chips. He takes his wedding ring off to avoid getting it dirty. After the game he cannot find the ring.,roc
192,It seemed to protest at the unbalanced weight of the sky piece.,mnli
193,Jill was coming home from work. She just had to pick up a few things. She walked into the gas station. Bought a bag of chips and a lottery ticket.,roc
194,We went to watch a movie. We didn't know what we wanted to see. We chose a horror movie. We both enjoyed it very much.,roc
195,"He spoke impulsively: ""I wish you'd been there, sir, to go over the house!"" 165 ""I wish I had,"" said Sir James quietly.",mnli
196,But that's a secondary objective compared to fixing the damage you've done.',mnli
197,"Jamie wanted to become an artist. She practiced every day for years. She applied to an art college, but her application was denied. Jamie continued to teach herself art.",roc
198,"I didn't want to say it, Jane I knew it would hurt you.",mnli
199,"Vrenna's sword flew end over end, crashing into the wide curved sword of the Reaver.",mnli
200,"Maeby was scared to go to her school, they said it was haunted. She told her mom how she heard noises in the abandoned gym.",roc
201,"Adam lined up to attempt a field goal on the last play of the game. If he makes the attempt, his team will win the game.",roc
202,Clay was going through a bad break up. Clay wondered to himself. Where does he fit in the picture. Does he really fit at all?,roc
203,"No, admitted Tuppence, ""I haven't but I know some one who has.""",mnli
204,"Down two points, Paul knew he had to make the final shot. He caught the pass and dribbled up the floor.",roc
205,Rocco left Kansas to make it in New York. He missed his old girlfriend something terrible. His new friend Bob kept introducing him to girls.,roc
206,Nate had had a huge fight with his parents. He decided to run away from home.,roc
207,"Cynthia, called Mrs. Inglethorp, ""do you think you could write a few notes for me?""",mnli
208,"Kirk was a wild teenager. One night he snuck out of his house to meet with friends. Later, Kirk quietly snuck back into his bedroom.",roc
209,What? Poirot caught me violently by the shoulders.,mnli
210,"Vivian planted lots of bushes in the yard. She lined the sidewalk with a rose bush. When her kids ran by, the thorns would poke them.",roc
211,"On the other hand, horses of the same combination were the pride of several other families living around Lexington.",mnli
212,"He had planned it this way no demands, no claims on a stranger, freedom to make the decision of when or how he would see his father; that was the only path he could take.",mnli
213,John was telling me about a good book he was reading. He thought I would like it. It was a murder mystery type. I usually really like that genre.,roc
214,We are now able to account for the symptoms of strychnine poisoning being so long in making their appearance.,mnli
215,"I wanted to offer a big reward for news of Jane some days ago, but your crusted institution of Scotland Yard advised me against it.",mnli
216,"Kacey decided to bake a cake. It was her first attempt, but she was confident. After all, it was a boxed mix - how hard could it be?",roc
217,Rylo was a mischievous sibling to her two older sisters. She enjoyed making them cry at times when their was no reason to.,roc
218,"Marissa was at the dentist's office. She left her coat on a chair while she went to the bathroom. While she was gone, someone accidentally picked up her coat.",roc
219,Scott challenged Simon to a friendly game of poker. The game was going well when Scott upped the stakes too high. Simon was uncomfortable and told him so.,roc
220,Ruth had bought a bag of potatoes. She hadn't cooked in a week or so. She wasn't able to use the potatoes.,roc
221,Take the Kal and have Severn show you the mines today.,mnli
222,The woman took the bus to the store. She went in to do her shopping. She met a friend at the store. Her friend offered her a ride home.,roc
223,A neighbor of ours created a GoFundMe account. She went to Latin School and to BU on a scholarship. She now wants to go to nursing school.,roc
224,"Forgive me for having a healthy ego,' I snapped.",mnli
225,"They all declared unanimously that it was certainly not his hand-writing, and gave it as their view that it might be that of the prisoner disguised.",mnli
226,Craig wanted to eat a kale salad. But he thought his kale might be spoiled. He didn't want to go buy more. So he decided to use the kale anyway.,roc
227,Kathy was pregnant and very happy. Her only issue were the constant aches and pains. She couldn't even sleep because of her discomfort.,roc
228,THERE IS A LOT OF ANGER AND SADNESS IN THE CAVES.,mnli
229,"It is a very difficult situation for you, Mr. Cavendish.",mnli
230,"The northerner fell back, the waved blade just missing his side.",mnli
231,Susie wanted a tattoo. But she was not entirely sure if she would go through with it. She thought it would perhaps hurt.,roc
232,"He could not hope to sustain his part indefinitely; sooner or later he was almost bound to betray himself, and then he would have thrown away a vital chance in mere foolhardiness.",mnli
233,"Ca'daan glanced up and saw Susan's face, round and smooth, with her red hair spilling out of the sides of her hood.",mnli
234,"No, that's why we'll have to start all over again.",mnli
235,"Tim was walking in the park one evening. He heard strange sounds coming from behind a tree. There he discovered a child, huddled and crying to himself.",roc
236,"Kurt was arrested for driving while intoxicated. Because of the arrest, he lost his auto insurance. Without insurance he could not drive, and he sold his car.",roc
237,Carla loved the beach. She wanted her own beach house. Carla worked for 40 years and saved up money to buy a beach house.,roc
238,"As soon as I woke up, I prepared a chicken sandwich. I wanted some pepper and decided to look for the pepper sauce.",roc
239,"Hahaha! Oh, wait, what are you doing? What they hell are you doing here? Let me go!'",mnli
240,Nick has never been the best as picking his friends. He brought home a girl. Then they went on a trip to Seattle together. He ended up leaving her there.,roc
241,"Timmy wanted to be elected class president. To help his campaign, he studied politics after school. He used all that he learned from studying on his classmates.",roc
242,"Nye swerved, sending a lagger on with a sharp crack of quirt in the air.",mnli
243,"Well, returned Julius, ""he got out, that's all."" 89 Chapter 12 A Friend in Need FRIDAY and Saturday passed uneventfully.",mnli
244,"On the contrary, John is very fond of you.",mnli
245,The man swung his ax at the tree. The ax head got stuck in the tree. The man yanked on the stuck ax. It released from the tree suddenly.,roc
246,"Jon spun, grappling the man's arms before the sword had time to swing, and ran the sharp edge of his rapier from hilt to tip across the man's throat.",mnli
247,Kia wrote a very good essay in English class. Her teacher submitted it to a statewide contest. Kia's essay won second place.,roc
248,Bruce started dating this girl Sara. Sara was really into fitness and Bruce was not. She convinced Bruce to do a Zumba class with her.,roc
249,"Matt couldn't find a job. So he decided to beg for money. He wore dirty, old clothes and help up a sign on the street. And he made minimum wage.",roc
250,Kariem raised a small flock of chickens. He would let them out of their yard every evening.,roc
251,Mark was going to the store. His wife called him to bring back milk. Mark forgot to get the milk. He realized halfway home that he forgot the milk.,roc
252,Malcolm was practicing shooting targets with his gun. He was surprised when someone tapped him on the shoulder. He jumped and shot off in the distance.,roc
253,Tom was looking through his parents DVD collection. He found an old movie to watch. Tom put it in and saw something else.,roc
254,Adam was fishing in a lake. He hadn't caught anything all day. He was reeling the line out of the water when he hooked something.,roc
255,Vanessa was scared of the dark. Every night she had her father check the closet for monsters. Vanessa slept with a teddy bear at night.,roc
256,I'm afraid you will have to pay the administrative penalties.,mnli
257,Smoke? He pushed forward a silver box holding the long cigarillos of the border country.,mnli
258,The family had taken a great family photo. The mom put it in a frame on the wall. They all admired how great the photo was.,roc
259,A few days ago I went out to buy some chocolate milk. I drove all the way out to the store to get some.,roc
260,Either the body they'd given him or the conjuring during the right split second had enabled him to heal almost before a blow was struck.,mnli
261,When the lawyer dropped his eyes the young man had the 162 feeling that the other had read him through and through like an open book.,mnli
262,"Anyone would have sworn that the butler was a real butler, the footman a real footman only, as it happened, the butler was Whittington!",mnli
263,"Tuppence was late to take her train. She run very fast on the platform and jumped on board. While so doing, she pushed a man who fell over.",roc
264,The first time I saw collard greens was when I was in the Army. At first I thought they looked disgusting. I did not want to eat them at all.,roc
265,Tim was asked to show the new student around. He was to wait in the school office for a student named Reagan.,roc
266,Conrad lit a hissing gas burner and went out.,mnli
267,The man's rage boiled and he rushed Jon.,mnli
268,The Jones family had a large pet python. Mrs Jones was afraid of snakes and feared it might escape.,roc
269,"If Bayliss wanted to use Drew's connection with the Range as a weapon in some scheme against Hunt Rennie, then Hunt Rennie's son was only too willing to clear out.",mnli
270,"I can't imagine what you mean,' I deadpanned.",mnli
271,I am the real and true Benjamin Franklin.,mnli
272,Something in their eyes put Ca'daan on guard.,mnli
273,Kate went to the store looking to buy a bathing suit. She found one she liked and asked for opinions from friends.,roc
274,It rolled over his eyes and from his lips.,mnli
275,"Tommy felt that, thanks to Mr. Carter, he understood the position fairly accurately.",mnli
276,A few months ago I flew to Florida. The airport was massive. I had no idea how to get around.,roc
277,Robynn went to work in the morning. When she got there the building was closed. She looked at her watch. She saw that it wasn't her work day.,roc
278,Possibly a house but I think a flat.,mnli
279,Fred registered to vote in his new state. He put the political party he despised most as the one he belonged to. Fred had become very very bitter about politics.,roc
280,You brought me to life again with a mandrake root and spells; you can do anything you want with me.,mnli
281,"Now, if I see a man in a fur coat come out of the Ritz I can't rush up to him and say: 'Look here, you're rich.",mnli
282,"The northerner stepped past, pulling his leather gloves from his hands finger by finger.",mnli
283,Ned was a collector of coins. He would always check his change for old coins. Once he found a nineteen thirty four dime.,roc
284,"Ian went to the supermarket. As soon as he came in, he went to the snack aisle. A person's face seemed familiar to him.",roc
285,They had to haul the man out with a rope.,mnli
286,"I was sitting in a helicopter, on the edge of my seat.",mnli
287,"She returned with a tray, containing the teapot and four cups.",mnli
288,Sam was feeling quite sad. He had recently broken up with his girlfriend. Sam decided to find another partner. He signed up for multiple online dating websites.,roc
289,One of my daughter's friends got married a few days ago. One of her bridesmaids was depressed. She had just broken up with her boyfriend.,roc
290,"The author had reconfigured her book many times. She was worried that the ending was bad. The day before it was due to the editor, she tweaked it again.",roc
291,Joyce noticed a little injured crow. She took it home with her. Joyce helped rehabilitate the little crow. The crow comes and goes as it pleases.,roc
292,"He had discovered that the sky material resisted any sudden stroke, but that other matter could be interpenetrated into it, as the stars were.",mnli
293,Lucy had a very small suit. At first she thought it would fit her. Yet she realized it was too small. She was mad because she needed it for today.,roc
294,"Come on, strip, or I'll burn off your clothes with a salamander.",mnli
295,I am Chinese. One day I was sitting on the bench in front of my building. A young man came by and said I looked like his father.,roc
296,When i was in high school i was to lazy to do assignments. One day our teacher gave us assignment to be submitted the next day.,roc
297,It's been too hot for my dog to want to play outside. He gets so hyper inside so we have to come up with games to play.,roc
298,I happened to notice that it was bolted.,mnli
299,"I should think not,' I cut him off.",mnli
300,Our cat used to ask for a second feeding at eleven am. She would tap me to remind me to feed her.,roc
301,Red only waved for him to come out.,mnli
302,"At any rate, she burst out, ""I've spoken my mind!""",mnli
303,Hank didn't want to go to college after high school. He got a job at a local pizza shop after graduation. The pizza shop wasn't in a very good neighborhood.,roc
304,"Every evening, Jackie ate cookies after dinner. Her favorite cookies were chocolate chip. One day, she accidentally bought cookies with raisins.",roc
305,Monica checked out a book from the library. She didn't have time to read the library book. It was time to bring the book back to the library.,roc
306,"The modular construction offered practically unlimited possible combinations in creating a new character, and several suggested on the back of the box gave a taste of this incredible action-figure adventure: Rambie 3, Winnie the Poohman, Donald Potter, or Atomic Ostrich.",mnli
307,Tim didn't want to go to church. His mother was thinking of ways to make him go. She gave him a bunch of chores to do if he stayed home.,roc
308,He shot two near the end of the column and then fell back to the Kal's furious defense as he reloaded.,mnli
309,"And yet, I cried indignantly, ""after that, you gave me two reasons why Miss Howard could not have committed the crime!""",mnli
310,One day the Smither family decided to go on vacation to Hawaii. First they boarded the plane. Then the plane took them to Hawaii.,roc
311,"Mr. Whittington spoke again: ""If you will call upon me to-morrow morning at eleven o'clock, I will lay the details of my proposition before you."" 14 ""At eleven o'clock?"" said Tuppence doubtfully.",mnli
312,One day Ellen and her friends went on a nature walk. Ellen forgot to put on bug spray. She got lots of mosquito bites.,roc
313,A new park opened in town. It was shaped like a pirate ship. All the kids loved to climb around on it. Josh played on it for three hours straight.,roc
314,The little town of Hastings had seen its fair share of turmoil. Nothing could quite compare though to the drought that had come.,roc
